data,label,vector
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AsIGBjb2wzYCApIFZBTFVFUyAoICciIE9SIDk1MzE9KFNFTEVDVCBDT1VOVCgqKSBGUk9NIEFMTF9VU0VSUyBUMSxBTExfVVNFUlMgVDIsQUxMX1VTRVJTIFQzLEFMTF9VU0VSUyBUNCxBTExfVVNFUlMgVDUpIEFORCAieEtlaCI9InhLZWgnLCAnIikgV0hFUkUgNzU3NT03NTc1IE9SIDk2MDI9KFNFTEVDVCBDT1VOVCgqKSBGUk9NIEdFTkVSQVRFX1NFUklFUygxLDUwMDAwMDApKS0tIEFpVlMnICk7,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0]"
RU5ELS0nIE9SIGBjb2wyYCBMSUtFICIlJ3AnJSI7ClVQREFURSBgdGFiYCBTRVQgYGNvbDFgID0gNiBXSEVSRSBgY29sMWAgPCAnPyBvciAxPTEgLS0nIExJTUlUICciIE9SIEpTT05fS0VZUygoU0VMRUNUIENPTlZFUlQoKFNFTEVDVCBDT05DQVQoMHg3MTdhNzA2MjcxLChTRUxFQ1QgKEVMVCgzMjEzPTMyMTMsMSkpKSwweDcxNzg3NjcxNzEpKSBVU0lORyB1dGY4KSkpIEFORCAieGRMWCI9InhkTFgnOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0
 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 0 0 1 0 0 0]"
U0VMRUNUIGBjb2wzYCwgYGNvbDJgLCBgY29sMWAgRlJPTSBgdGFiYCBXSEVSRSBgY29sM2AgPSAxNTEzNTUzOTIwIE9SIGBjb2wzYCBMSUtFICclJ2hlJyUnIEFORCBgY29sMWAgPSAnbWVhbicgT1IgYGNvbDJgIExJS0UgIiUnb3V0JyUiIEFORCBgY29sMWAgPj0gMTE5MzIxMzk1MiBMSU1JVCAxMjY1NjMxMjMyLC01MzMzMzE5Njg7,sane,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AgKSBWQUxVRVMgKCAxNTU5ODIyMzM2ICk7,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSAyIFdIRVJFIGBjb2wzYCA8IDIyNjc1NDU2IExJTUlUIC0yMDY4NDQ3MjMyOw==,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sM2AgKSBWQUxVRVMgKCAtODc3MDAyNzUyICk7,sane,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wzYCwgYGNvbDNgLCBgY29sMWAgRlJPTSBgdGFiYCBXSEVSRSBgY29sMmAgPj0gLTEyNjc0NjYyNCBMSU1JVCAtNzI0NTY2MDE2Ow==,sane,"[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wzYCwgYGNvbDNgIEZST00gYHRhYmAgV0hFUkUgYGNvbDNgID0gIicpKSkgVU5JT04gQUxMIFNFTEVDVCBOVUxMLE5VTEwsTlVMTCxOVUxMLE5VTEwsTlVMTCxOVUxMLE5VTEwtLSBmVEdXIiBMSU1JVCAiJ3x8dXRsX2h0dHAucmVxdWVzdCgnaHR0UDovLzE5Mi4xNjguMS4xLycpfHwnIjs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0]"
REVMRVRFIEZST00gYHRhYmAgV0hFUkUgYGNvbDNgIExJS0UgJyUnayclJyBMSU1JVCAiJykpKSBPUiAzNDA4PShTRUxFQ1QgQ09VTlQoKikgRlJPTSBET01BSU4uRE9NQUlOUyBBUyBUMSxET01BSU4uQ09MVU1OUyBBUyBUMixET01BSU4uVEFCTEVTIEFTIFQzKSBBTkQgKCgoJ0tkaHcnIExJS0UgJ0tkaHciOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0]"
U0VMRUNUIGBjb2wzYCwgYGNvbDJgLCBgY29sMmAgRlJPTSBgdGFiYCBXSEVSRSBgY29sMWAgPj0gIicgQU5EIDE9dXRsX2luYWRkci5nZXRfaG9zdF9hZGRyZXNzKChTRUxFQ1QgRElTVElOQ1QodGFibGVfbmFtZSkgRlJPTSAoU0VMRUNUIERJU1RJTkNUKHRhYmxlX25hbWUpLCBST1dOVU0gQVMgTElNSVQgRlJPTSBzeXMuYWxsX3RhYmxlcykgV0hFUkUgTElNSVQ9MSkpIEFORCAnaSc9J2kiIExJTUlUICcgb3IgMT0xJzs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0
 1 0 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0]"
