data,label,vector
RGVsRXRlC2ZyT00vKicxL0okKi9gVEFCYCB3aEVyRSBgY29sM2AvKiovPj0vKiovIic7CiBpZiBub1Qoc1Vic1RSaU5nKChTZUxFQ1QgQEBWZXJzaU9OKSwyNSwxKSAgIT0gIChTZWxFY3QgNSkpIFdBSVRGT1IgRGVsQXkgJzA6MDoyJy8qKi8tLSI7,attack,"[0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 1 0 0]"
SU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMWAgKSBWQUxVRVMgKCAneicgKTs=,attack,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0]"
c2VsZUNUIGBjT0wxYCwgYGNPbDJgLC8qC2RjKi9gQ09MMmAgZnJvbSBgdGFiYCB3aGVSZSBgY29MMWA9J08nIExpbUl0ICInfHw2NzU3IE5PVCBMSUtFIDB4MWE2NiAtLSIsJyAgfHwgIDB4ODY2PShzZUxlQ1QMY091bnQoKikgRnJvTSBTeVNtYXNUZVI6U1lTUGFnSERSKSAgJiYgICdQXTUnIE5PVCBMSUtFICdQXTVVJyBPUiBGYWxzZSBBTkQgVHJ1ZSBPUiBGYWxzZSMgS3V1Yic7X1s=,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sM2AgPSAwIFdIRVJFIGBjb2wxYC8qLio3ciovTElLRSAiJSd5JyUiOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]"
ZEVTY8KgdXNlcnM7,attack,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
SWYgbk90KChzRUxFQ3Qgc0VydmVSUFJvcGVSVFkoJ0lzSW5UZWdyYVRlZHNlQ3VSaVR5T25MWScpKSA8PiAxKSB3QWlURk9SIERFbGFZICcwOjA6MicgLS0iICk7CkRFbGV0ZSBGUm9tIGBUQWJgIFdoZVJlIGBjT0wzYCBsaUtlICclJ0snJScgQU5kIGBDT0wxYCA9LyoqLycgd2hlUmUgMzc1PTM3NTsKRGVMRXRFIEZST00gYHRhQmAgd2hlUkUgYGNvbDNgPSd5JyBsaW1JVCAnYSc7CnVQZGF0ZSBgdGFCYCBTZXQgYENPTDNgID0gNCBXSGVSZSBgQ29MMmAgbElrZSAnRicgYU5EIGBDb2wyYD0iJyBVbmlvbiAoU0VMZUNUIE5VbEwsIE51bEwsIG51TGwsICAoc2VsRUNUIEBAdmVyc0lPTikpIC0tIjsKdVBkYVRlIGB0YUJgIHNFdC8qIUdEKi9gY09MMWAgPSAoU2VMRWN0IDYpIFdoRXJFIGBDT0wzYCA+PSAiJyBhTmQgMT1VdGxfSU5BRERSLmdlVF9ob1NUX0FkRHJFU3MoKHNlTEVjVCBjb3VOVChkaXN0aW5DdChUYWJsRV9OQW1lKSkgZlJvTSBTeXMuQWxsX3RBYkxFcykpIGFOZCAnaSc9J0kiOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 0 0
 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0]"
U0VMRUNUIGBjb2wyYCBGUk9NIGB0YWJgIFdIRVJFIGBjb2wzYCBMSUtFICclJ3InJSc7,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0]"
dVBkYVRFIGBUQUJgIHNFdCBgQ09sM2AgPSAyIHdoRXJlIGBjT2wzYAw+PSAnIikgQVMgRElkWC8qKi9XSEVSRSA4NDA0IGluICgoU0VMRUNUIDg0MDMpLDg0MDQsODQwNSkgQU5kIChTZUxlQ3QgKENBc2Ugd0hlbiAoJ0dXJyBOT1QgTGlLRSAnR1d3JykgVEhlTiBuVUxsIGVMc2UgQ1RYc3lzLkRSSXRoc3guU04oKFNlTGVDVCAxKSw1NjcyKSBFbmQpIGZyb20gZHVhTCkJaXMgblVMbC0tIFFqRHYnIExJbUlUICInIE9yLyoqLzEgPS8qKi8xIjs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
REVMRVRFLypPKi9GUk9NIGB0YWJgIFdIRVJFIGBjb2wxYCA+PSAnMScgTElNSVQgIiUnKSkpIFdBSVRGICBPUiALIERFTEFZICcwOjA6NSctLSI7,attack,"[0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0]"
U2VsZUNUIGBjT2wzYCwgYENPbDFgLCBgQ09MMmAgRlJvTSBgdEFCYCB3aEVyZSBgY09sMmAgPCAiJyBBbmQgMT1VdGxfaU5BZERSLmdFdF9IT3N0X0FkRFJFU3MoKFNFTEVDVCBkSXNUSU5DVChUYUJsZV9uQU1lKS8qKi9GUm9tIChzRWxFQ3QgRElzVElOQ1QoVGFiTGVfbkFtZSksIFJvd051bSBhUyBsSW1pdCBGck9tIFNZcy5BbGxfVEFibGVzKSB3SEVyZQlMaW1pVD0zKSkgYW5kICdpJz0nSSIgb3IgYENPbDFgID0gJzYvKiovVW5pT24gYWxMIFNlTGVjVCA5MTYyLDkxNjIsOTE2MiBBbmQgMS0tIGNLVkUnIE9SIGBjb2wxYC8qKi9saWtlICclJ3gnJScgTElNSVQgIkVYRUMgc1BfQWRkU1J2Um9MRU1lbWJFUiAnTkFNZScgLCAnU3lzQWRNaW4nIiwiJyBhTmQgMHgxPVV0bF9JTmFkZHIuZ0VUX0hvc3RfQWREUkVTUygoc2VsZWNUIERJc3RJbkN0KFRBYkxlX25BbUUpIEZSb00gKHNlbEVjVCBESVN0aW5DdCh0YWJMRV9OYU1FKSwgcm93TlVNIEFzIGxJTUl0IGZyb00gU1lzLkFMTF9UQWJsRXMpIFdoRVJFIGxJbWlUPTEpKSBBbmQgJ2knPSdpIjs=,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0
 1 1 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0]"
SU5TZVJUIElOVG8gYHRhYmAgKCBgQ29sM2AsIGBjb2wyYCApIFZhbFVlUyAoICInOwpERWxFVEUgRlJPbSBgdEFCYCB3SEVSRSBgQ09sM2AgTElLRSAnJSIpKSkgIEFOZMKgIHJPdygyMzM0LDMyMDUpPihzRUxFQ3QgY291blQoKiksY09uQ2F0KDB4NzE3YTcwNjI3MSwoc2VMZWNUIChlTFQoMTEzMSBub1QgbGlrRSAxMTMyLDEpKSksMFg3MTc4NzY3MTcxLGZsTyBvciAoUkFuZCgweDApKjIpKVggRnJPbSAoc2VMZUN0IDg1MzkgdW5JT04gU0VMRUN0IDc3OTggdU5pb04gU2VsRUNUIDU0MjIgVU5pT04gU0VsRWNUIDY5NzEpQSBHUm9VcCBieQlYKSBBTkQgKCgoIiUiPSInIGxpTWlUICIxIEFuZCBVU2VyX25BbWUoKSA9ICdkQm8nIjsKIGlGIE5vVChTdUJTdHJpTkcoKFNFTEVjdCBAQFZlUlNJb04pLChzZUxlQ1QgMjQpLDEpICAhPSAgKHNFbEVDVCAxKSkgV2FJVEZ8fCBEZWxBWSAnMDowOjInIC0tIiwgJ2knICk7,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0
 0 1 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0]"
LS0iOwpTRUxFQ1QgKENBU0UgV0hFTiAoODQwND0zNzI0KSBUSEVOIChTRUxFQ1QgODQwNCkgRUxTRSA4NDA0KihTRUxFQ1QgODQwNCBGUk9NIElORk9STUFUSU9OX1NDSEVNQS5QTFVHSU5TKSBFTkQpIEFORCAnK2gnIE5PVCBMSUtFICcraD0nIycgKTsKU0VMRUNUICogRlJPTSBgdGFiYCBXSEVSRSBgY29sM2AgPSAncycgQU5EIGBjb2wyYCBMSUtFICIlJ2YnJSIgQU5EIGBjb2wxYCA9ICd5JyBMSU1JVCAnOSIpIE9SIChTRUxFQ1QgKENBU0UgV0hFTiAoNDFOUD00MU5QKSBUSEVOIE5VTEwgRUxTRSBDVFhTWVMuRFJJVEhTWC5TTigxLDM3MTgpIEVORCkgRlJPTSBEVUFMKSBJUyBOVUxMIEFORCAoIkpOYUUiIExJS0UgIkpOYUUnLCInIEFORCAxPXV0bF9pbmFkZHIuZ2V0X2hvc3RfYWRkcmVzcygoU0VMRUNUIERJU1RJTkNUKFBBU1NXT1JEKSBGUk9NIChTRUxFQ1QgRElTVElOQ1QoUEFTU1dPUkQpLCBST1dOVU0gQVMgTElNSVQgRlJPTSBTWVMuVVNFUiQpIFdIRVJFIExJTUlUPTYpKSBBTkQgJ2knPSdpIjsKSU5TRVJUIElOVE8gYHRhYmAgKCBgY29sMWAsIGBjb2wzYCApIFZBTFVFUyAoICInIC0tICIsICIyJykgT1JERVIgQlkgMTEjIiApOwpTRUxFQ1QgYGNvbDNgLCBgY29sM2AsIGBjb2wyYCBGUk9NIGB0YWJgIFdIRVJFIGBjb2wxYCBMSUtFICclJ2MnJSc7,attack,"[0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0
 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0]"
VVBEQVRFIGB0YWJgIFNFVCBgY29sMmAgPSAweDYgV0hFUkUgYGNvbDFgID0gIicgQU5EIChTRUxFQ1QgMSk9dXRsX2luYWRkci5nZXRfaG9zdF9hZGRyZXNzKChTRUxFQ1QgaG9zdF9uYW1lIEZST00gdiRpbnN0YW5jZSkpIEFORCAnaSc9J2kiOw==,attack,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0]"
dVBkQVRlIGB0YWJgIHNlVCBgQ29MMmAgbGlrZSA5CVdoRVJFIGBjb0wxYCA+PSAnMSBBTmQgMzM1NyBOT3QgbGlrRSAzMzU4Jzs=,attack,"[0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0]"
