config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7481060606060606,513,347,0.6764132553606238,0.556729439642699,0.681852295091245,0.4900561856289831,0.6380276225014062,0.1251228554485459,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7584222859989592,484,342,0.7066115702479339,0.5400491009792986,0.6614329810093372,0.4798980980215836,0.6418897777000685,0.1213838800300386,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7564401439181205,532,390,0.7330827067669173,0.5278719594374816,0.642701275379595,0.4763384253919256,0.6075427044766878,0.1148293159421134,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7440277777777778,488,352,0.7213114754098361,0.5760357317198126,0.6996531047834706,0.4902852665338888,0.6285484204483675,0.123617373063658,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7638798180985682,566,394,0.696113074204947,0.5799214740002524,0.6957532035190156,0.5068798337123874,0.6665648696385541,0.1158317295187632,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7476997600956425,498,382,0.7670682730923695,0.5416959217684578,0.6647477904482197,0.4922816857990564,0.6334061709801166,0.1230518686797619,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7569284772505127,525,360,0.6857142857142857,0.5558187373125453,0.6907234809373102,0.492662266489001,0.6467409324215017,0.1349047436247649,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7646730177161379,542,405,0.7472324723247232,0.5473019946395394,0.6828181799427233,0.4932563619417517,0.6481907794624675,0.1355161853031838,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.9403843048292916,0.7338123063608284,491,378,0.769857433808554,0.5257234477591346,0.6549021001415695,0.4686087050857093,0.6322413875139161,0.1291786523824348,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.9403843048292916,0.8114583333333332,576,403,0.6996527777777778,0.5935785926493191,0.7065923367197452,0.5263218100104804,0.6706815180522151,0.113013744070426,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.9403843048292916,0.9436885939955214,864,732,0.8472222222222222,0.6110630306822463,0.7309766042971928,0.6113317101859544,0.7322501907513489,0.1199135736149464,0.1209184805653944
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.9403843048292916,0.9406854204985088,777,713,0.9176319176319176,0.6012838058225021,0.7300726832687515,0.6075952944269081,0.7348019163890721,0.1287888774462494,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.9403843048292916,0.9499317039404672,784,746,0.951530612244898,0.585802663764647,0.7321135348004443,0.5957952553101403,0.7383481424270155,0.1463108710357973,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.9403843048292916,0.9461855787283124,862,776,0.9002320185614849,0.6178017184330908,0.7384452364440494,0.625671267190043,0.7464573298898072,0.1206435180109585,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.9403843048292916,0.9453896262278354,799,764,0.9561952440550688,0.6049886294775448,0.7324088142181719,0.610824868394811,0.736549353693962,0.1274201847406271,0.125724485299151
