config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7481060606060606,513,397,0.7738791423001949,0.5646673544535216,0.6861169045272133,0.4900561856289831,0.6380276225014062,0.1214495500736917,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7584222859989592,484,385,0.7954545454545454,0.5467446699975892,0.6638797637020802,0.4798980980215836,0.6418897777000685,0.117135093704491,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7564401439181205,532,436,0.8195488721804511,0.5386310043062372,0.6499662663836167,0.4763384253919256,0.6075427044766878,0.1113352620773794,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7440277777777778,488,387,0.7930327868852459,0.5828343981836211,0.7035549648535592,0.4902852665338888,0.6285484204483675,0.120720566669938,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7638798180985682,566,443,0.7826855123674912,0.5882318923629307,0.7006185160811134,0.5068798337123874,0.6665648696385541,0.1123866237181826,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7476997600956425,498,399,0.8012048192771084,0.5518758193391643,0.6704835294319131,0.4922816857990564,0.6334061709801166,0.1186077100927488,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7569284772505127,525,410,0.780952380952381,0.5632891332939048,0.6943250641871233,0.492662266489001,0.6467409324215017,0.1310359308932184,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7646730177161379,542,435,0.8025830258302583,0.5548477066468672,0.6873598401260377,0.4932563619417517,0.6481907794624675,0.1325121334791704,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.9406854204985088,0.7338123063608284,491,402,0.8187372708757638,0.5384863188615122,0.6614855982975715,0.4686087050857093,0.6322413875139161,0.1229992794360592,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.9406854204985088,0.8114583333333332,576,443,0.7690972222222222,0.5995731786191516,0.7099869574224752,0.5263218100104804,0.6706815180522151,0.1104137788033235,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.9406854204985088,0.9436885939955214,864,726,0.8402777777777778,0.6161467511069989,0.7342149143437163,0.6113317101859544,0.7322501907513489,0.1180681632367174,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.9406854204985088,0.9403843048292916,808,695,0.8601485148514851,0.5841106407352697,0.7344659793800911,0.5779688986318993,0.7294845146706014,0.1503553386448213,0.1515156160387021
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.9406854204985088,0.9499317039404672,784,677,0.8635204081632653,0.5935417407370529,0.7372029842115113,0.5957952553101403,0.7383481424270155,0.1436612434744584,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.9406854204985088,0.9461855787283124,862,749,0.8689095127610209,0.6222209303542602,0.7426819488022358,0.625671267190043,0.7464573298898072,0.1204610184479756,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.9406854204985088,0.9453896262278354,799,681,0.8523153942428036,0.6142413714319084,0.7374688288349894,0.610824868394811,0.736549353693962,0.123227457403081,0.125724485299151
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.6538855378303416,647,550,0.8500772797527048,0.5824406472808609,0.6912188515831479,0.3996095080324405,0.5282979766351252,0.108778204302287,0.1286884686026846
Surrogate_GBoost_V1,2024-05-23_21-59-14_palegreen-local,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.686673007615936,686,560,0.8163265306122449,0.5672960967649268,0.684818285589906,0.4034413927202514,0.5513010469053942,0.1175221888249792,0.1478596541851427
Surrogate_GBoost_V1,2024-05-23_06-06-40_darkslateblue-they,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.6752334019684305,736,614,0.8342391304347826,0.5940125243534028,0.7134703785568078,0.4165351194147479,0.5574162988585428,0.119457854203405,0.1408811794437948
Surrogate_GBoost_V1,2024-05-22_05-37-59_darkviolet-but,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.6959621076217234,678,578,0.8525073746312685,0.5880844083921849,0.7216193810425007,0.4206529968662883,0.5713384290168629,0.1335349726503157,0.1506854321505746
Surrogate_GBoost_V1,2024-05-22_13-56-59_darkblue-until,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.6139125227996559,591,490,0.8291032148900169,0.5770208625953452,0.7199024272540451,0.3889101902560168,0.5627471060156555,0.1428815646586998,0.1738369157596386
Surrogate_GBoost_V1,2024-05-23_14-03-55_peru-civil,surrogate model with GradientBoosting and 100% overlap,0.9406854204985088,0.6678473697214085,655,579,0.8839694656488549,0.5486680997665067,0.6758159975126012,0.3981851511206518,0.5403978525069676,0.1271478977460945,0.1422127013863158
Surrogate_NaiveBayes_V1,2024-05-24_21-29-40_chocolate-yourself,surrogate model with Naive Bayes and 100% overlap,0.9406854204985088,1.6441099896168416e-99,1136,533,0.4691901408450704,0.7673771508479343,0.7915070598896444,1.830227992500729e-101,0.1584507042253259,0.02412990904171,0.1584507042253259
