config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7481060606060606,513,347,0.6764132553606238,0.5574330630352162,0.6823985291343134,0.4900561856289831,0.6380276225014062,0.1249654660990972,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7584222859989592,484,347,0.7169421487603306,0.5414773612800855,0.6635974827438341,0.4798980980215836,0.6418897777000685,0.1221201214637486,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7564401439181205,532,393,0.7387218045112782,0.5295959373587366,0.6450620196032838,0.4763384253919256,0.6075427044766878,0.1154660822445472,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7440277777777778,488,357,0.7315573770491803,0.5750825773419003,0.7000525988689198,0.4902852665338888,0.6285484204483675,0.1249700215270195,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7638798180985682,566,396,0.6996466431095406,0.583045439971071,0.6983313626816859,0.5068798337123874,0.6665648696385541,0.115285922710615,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7476997600956425,498,385,0.7730923694779116,0.5449055008660892,0.6669785485067673,0.4922816857990564,0.6334061709801166,0.122073047640678,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7569284772505127,525,366,0.6971428571428572,0.5563397037132568,0.6911661103034439,0.492662266489001,0.6467409324215017,0.134826406590187,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7646730177161379,542,406,0.7490774907749077,0.5481955504817803,0.6842631591033596,0.4932563619417517,0.6481907794624675,0.1360676086215793,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.9436885939955214,0.7338123063608284,491,375,0.7637474541751528,0.5283888841497871,0.6548997219799056,0.4686087050857093,0.6322413875139161,0.1265108378301185,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.9436885939955214,0.8114583333333332,576,405,0.703125,0.5936162921089401,0.7069424434604229,0.5263218100104804,0.6706815180522151,0.1133261513514828,0.1443597080417347
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.9436885939955214,0.9403843048292916,808,702,0.8688118811881188,0.583398718223377,0.7324127231299496,0.5779688986318993,0.7294845146706014,0.1490140049065726,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.9436885939955214,0.9406854204985088,777,696,0.8957528957528957,0.6040772697456522,0.7319717749051097,0.6075952944269081,0.7348019163890721,0.1278945051594574,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.9436885939955214,0.9499317039404672,784,699,0.8915816326530612,0.5879064536423462,0.7342394395374137,0.5957952553101403,0.7383481424270155,0.1463329858950675,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.9436885939955214,0.9461855787283124,862,718,0.8329466357308585,0.6207509756032845,0.740523051248103,0.625671267190043,0.7464573298898072,0.1197720756448185,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.9436885939955214,0.9453896262278354,799,689,0.8623279098873592,0.6096101649593186,0.7339986507926981,0.610824868394811,0.736549353693962,0.1243884858333794,0.125724485299151
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.9436885939955214,0.6538855378303416,647,501,0.7743431221020093,0.5779660430200081,0.688403338790411,0.3996095080324405,0.5282979766351252,0.1104372957704029,0.1286884686026846
