config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7481060606060606,513,345,0.672514619883041,0.56264279439133,0.68580626487256,0.4900561856289831,0.6380276225014062,0.12316347048123,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7584222859989592,484,343,0.7086776859504132,0.5464877164401521,0.6666791198941626,0.4798980980215836,0.6418897777000685,0.1201914034540104,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7564401439181205,532,391,0.7349624060150376,0.5308114880460035,0.6472228439889899,0.4763384253919256,0.6075427044766878,0.1164113559429863,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7440277777777778,488,357,0.7315573770491803,0.5806218392142268,0.7042553308399387,0.4902852665338888,0.6285484204483675,0.1236334916257119,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7638798180985682,566,391,0.6908127208480566,0.5873531432491427,0.7006014926465256,0.5068798337123874,0.6665648696385541,0.1132483493973829,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7476997600956425,498,385,0.7730923694779116,0.5502970809137877,0.6699368574534699,0.4922816857990564,0.6334061709801166,0.1196397765396821,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7569284772505127,525,366,0.6971428571428572,0.5578808622998506,0.6951932313919191,0.492662266489001,0.6467409324215017,0.1373123690920685,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7646730177161379,542,406,0.7490774907749077,0.554687984243225,0.6876790481120334,0.4932563619417517,0.6481907794624675,0.1329910638688084,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.9453896262278354,0.7338123063608284,491,374,0.7617107942973523,0.5321063748434681,0.657973907288299,0.4686087050857093,0.6322413875139161,0.1258675324448308,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.9453896262278354,0.8114583333333332,576,407,0.7065972222222222,0.596844776016158,0.7099053406945196,0.5263218100104804,0.6706815180522151,0.1130605646783615,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.9453896262278354,0.9436885939955214,864,728,0.8425925925925926,0.6171096200489847,0.734916779121389,0.6113317101859544,0.7322501907513489,0.1178071590724042,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.9453896262278354,0.9403843048292916,808,765,0.9467821782178216,0.587619550953486,0.7346943346211668,0.5779688986318993,0.7294845146706014,0.1470747836676809,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.9453896262278354,0.9406854204985088,777,709,0.9124839124839124,0.6059839839234874,0.7323793018402363,0.6075952944269081,0.7348019163890721,0.1263953179167488,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.9453896262278354,0.9499317039404672,784,736,0.9387755102040816,0.5922127614715891,0.7362681823382257,0.5957952553101403,0.7383481424270155,0.1440554208666365,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.9453896262278354,0.9461855787283124,862,757,0.8781902552204176,0.623468528267447,0.7422472280964985,0.625671267190043,0.7464573298898072,0.1187786998290514,0.1207860626997642
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.6538855378303416,647,550,0.8500772797527048,0.5764893059834267,0.6870949711934635,0.3996095080324405,0.5282979766351252,0.1106056652100367,0.1286884686026846
Surrogate_GBoost_V1,2024-05-23_21-59-14_palegreen-local,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.686673007615936,686,590,0.8600583090379009,0.5627694429605535,0.6825884186873539,0.4034413927202514,0.5513010469053942,0.1198189757268003,0.1478596541851427
Surrogate_GBoost_V1,2024-05-23_06-06-40_darkslateblue-they,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.6752334019684305,736,619,0.8410326086956522,0.5910537964611541,0.71105020425436,0.4165351194147479,0.5574162988585428,0.1199964077932059,0.1408811794437948
Surrogate_GBoost_V1,2024-05-22_05-37-59_darkviolet-but,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.6959621076217234,678,556,0.8200589970501475,0.5817139070273628,0.7194607249121188,0.4206529968662883,0.5713384290168629,0.1377468178847559,0.1506854321505746
Surrogate_GBoost_V1,2024-05-22_13-56-59_darkblue-until,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.6139125227996559,591,493,0.8341793570219966,0.5736227102479868,0.7180837644691721,0.3889101902560168,0.5627471060156555,0.1444610542211852,0.1738369157596386
Surrogate_GBoost_V1,2024-05-23_14-03-55_peru-civil,surrogate model with GradientBoosting and 100% overlap,0.9453896262278354,0.6678473697214085,655,571,0.8717557251908397,0.546906869310889,0.6738557918057453,0.3981851511206518,0.5403978525069676,0.1269489224948562,0.1422127013863158
Surrogate_NaiveBayes_V1,2024-05-24_21-29-40_chocolate-yourself,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,1.6441099896168416e-99,1136,561,0.493838028169014,0.7696444055269173,0.7917868609366098,1.830227992500729e-101,0.1584507042253259,0.0221424554096925,0.1584507042253259
Surrogate_NaiveBayes_V1,2024-05-24_08-27-38_lightskyblue-might,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,1.5348728495637029e-99,1062,513,0.4830508474576271,0.7689374329008887,0.8167578768443797,1.724613861556644e-101,0.1883239171125798,0.047820443943491,0.1883239171125798
Surrogate_NaiveBayes_V1,2024-05-24_06-02-52_cadetblue-lay,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,1.106482258374067e-99,1100,517,0.47,0.7924710033699028,0.8223715150591588,1.1744935300450082e-101,0.1681818181818174,0.029900511689256,0.1681818181818174
Surrogate_NaiveBayes_V1,2024-05-24_19-15-34_olive-simple,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,1.486496503766066e-99,1103,510,0.4623753399818676,0.7795866275638584,0.7997000536088233,1.509052259482217e-101,0.1631912964637831,0.0201134260449649,0.1631912964637831
Surrogate_NaiveBayes_V1,2024-05-25_05-33-38_darkslateblue-even,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,2.703240830849696e-102,1092,522,0.478021978021978,0.7766628752719018,0.7937199982291258,1.915144938763764e-104,0.1611721611718033,0.0170571229572239,0.1611721611718033
Surrogate_NaiveBayes_V1,2024-05-24_10-34-12_darkmagenta-data,surrogate model with Naive Bayes and 100% overlap,0.9453896262278354,1.4759449774253127e-99,1078,527,0.4888682745825602,0.7832942744323709,0.8094235380071364,9.837748578946759e-102,0.1679035250463822,0.0261292635747655,0.1679035250463822
Surrogate_LogReg_V1,2024-05-25_16-01-13_honeydew-million,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6527363600671267,752,529,0.7034574468085106,0.6694902056085003,0.7432662860244095,0.3213236537754699,0.4967891706763718,0.0737760804159092,0.1754655169009019
Surrogate_LogReg_V1,2024-05-26_00-32-57_mediumvioletred-open,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6574949927934893,785,561,0.7146496815286624,0.6514041063725488,0.727663663095421,0.3215096410359667,0.4952020602728396,0.0762595567228722,0.1736924192368729
Surrogate_LogReg_V1,2024-05-26_08-50-46_darkmagenta-price,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6739385203562249,890,568,0.6382022471910113,0.6903603246566383,0.754512966970409,0.348879354097652,0.5174820000399296,0.0641526423137707,0.1686026459422776
Surrogate_LogReg_V1,2024-05-27_00-49-34_aqua-gas,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6603488233039415,797,558,0.7001254705144291,0.6552978286605963,0.7521013250464201,0.316820837452631,0.5211375113441138,0.0968034963858238,0.2043166738914827
Surrogate_LogReg_V1,2024-05-26_16-57-36_mediumslateblue-agency,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6600229148567106,825,592,0.7175757575757575,0.6656094751286357,0.7501220432676148,0.3177744484326631,0.509167025035305,0.0845125681389791,0.1913925766026418
Surrogate_LogReg_V1,2024-05-25_07-38-08_thistle-station,surrogate model with Logistic Regression and 100% overlap,0.9453896262278354,0.6547304068014529,855,543,0.6350877192982456,0.6829754023037921,0.7586597396763443,0.3326175192771159,0.5088127057758787,0.0756843373725522,0.1761951864987627
Surrogate_KNN_V1,2024-05-27_09-13-03_seashell-believe,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,928,352,0.3793103448275862,0.7989191831344747,0.7796760644155796,0.3114224137931034,0.634698275862069,-0.0192431187188951,0.3232758620689655
Surrogate_KNN_V1,2024-05-27_12-31-57_darkorchid-involve,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,1089,481,0.4416896235078053,0.8031132603610265,0.782843038881335,0.3414141414141414,0.5930211202938476,-0.0202702214796914,0.2516069788797061
Surrogate_KNN_V1,2024-05-27_18-35-07_beige-indicate,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,997,411,0.4122367101303911,0.7889100504010788,0.7517514023533861,0.3227683049147442,0.6437311935807423,-0.0371586480476926,0.320962888665998
Surrogate_KNN_V1,2024-05-27_21-38-23_papayawhip-sound,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,1027,335,0.3261927945472249,0.837281081722839,0.8178789140809621,0.3415774099318402,0.6334956183057449,-0.0194021676418768,0.2919182083739046
Surrogate_KNN_V1,2024-05-28_00-47-49_mediumblue-phone,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,944,355,0.3760593220338983,0.8238464573213682,0.816669078442854,0.3065677966101695,0.5908898305084745,-0.0071773788785142,0.284322033898305
Surrogate_KNN_V1,2024-05-27_15-25-51_peachpuff-from,surrogate model with K-Nearest Neighbors and 100% overlap,0.9453896262278354,0.8,1069,433,0.40505144995322734,0.8147621117677768,0.7986227598172397,0.36202057998129095,0.6503274087932647,-0.016139351950537062,0.2883068288119737
