config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7481060606060606,513,359,0.6998050682261209,0.4848768902880213,0.5821756031470122,0.4900561856289831,0.6380276225014062,0.0972987128589908,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7584222859989592,484,350,0.7231404958677686,0.4788825857064588,0.5669906422262034,0.4798980980215836,0.6418897777000685,0.0881080565197445,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7564401439181205,532,397,0.7462406015037594,0.4629845932950692,0.5502305759702365,0.4763384253919256,0.6075427044766878,0.0872459826751673,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7440277777777778,488,338,0.6926229508196722,0.4883448895755381,0.5849717470826115,0.4902852665338888,0.6285484204483675,0.0966268575070733,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7638798180985682,566,414,0.7314487632508834,0.4940038231609153,0.5972051809100731,0.5068798337123874,0.6665648696385541,0.1032013577491577,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7476997600956425,498,343,0.6887550200803213,0.4768171959446531,0.5724754584261561,0.4922816857990564,0.6334061709801166,0.0956582624815029,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7569284772505127,525,377,0.7180952380952381,0.4841293765667254,0.6001768099296554,0.492662266489001,0.6467409324215017,0.11604743336293,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7646730177161379,542,408,0.7527675276752768,0.4692633581701089,0.5872999044770809,0.4932563619417517,0.6481907794624675,0.1180365463069719,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.6959621076217234,0.7338123063608284,491,362,0.7372708757637475,0.4657598366555786,0.5750531931061973,0.4686087050857093,0.6322413875139161,0.1092933564506187,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.6959621076217234,0.8114583333333332,576,387,0.671875,0.5061004279621267,0.6049509624264089,0.5263218100104804,0.6706815180522151,0.0988505344642821,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.6959621076217234,0.9436885939955214,864,519,0.6006944444444444,0.5491259209840087,0.6550143688841196,0.6113317101859544,0.7322501907513489,0.1058884479001108,0.1209184805653944
