config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.8,0.7481060606060606,513,316,0.6159844054580896,0.4596491228070176,0.6027290448343081,0.4900561856289831,0.6380276225014062,0.1430799220272905,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.8,0.7584222859989592,484,312,0.6446280991735537,0.4132231404958678,0.5987603305785123,0.4798980980215836,0.6418897777000685,0.1855371900826445,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.8,0.7564401439181205,532,359,0.674812030075188,0.4112781954887218,0.5612781954887218,0.4763384253919256,0.6075427044766878,0.15,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.8,0.7440277777777778,488,308,0.6311475409836066,0.4536885245901639,0.5897540983606556,0.4902852665338888,0.6285484204483675,0.1360655737704916,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.8,0.7638798180985682,566,356,0.6289752650176679,0.4434628975265017,0.6243816254416961,0.5068798337123874,0.6665648696385541,0.1809187279151943,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.8,0.7476997600956425,498,312,0.6265060240963856,0.4421686746987951,0.5891566265060241,0.4922816857990564,0.6334061709801166,0.1469879518072289,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.8,0.7569284772505127,525,345,0.6571428571428571,0.4171428571428571,0.6072380952380951,0.492662266489001,0.6467409324215017,0.1900952380952379,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.8,0.7646730177161379,542,372,0.6863468634686347,0.4044280442804428,0.5904059040590406,0.4932563619417517,0.6481907794624675,0.1859778597785977,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.8,0.7338123063608284,491,319,0.6496945010183299,0.4130346232179226,0.5784114052953157,0.4686087050857093,0.6322413875139161,0.165376782077393,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.8,0.8114583333333332,576,380,0.6597222222222222,0.4170138888888888,0.6090277777777778,0.5263218100104804,0.6706815180522151,0.1920138888888889,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.8,0.9436885939955214,864,499,0.5775462962962963,0.517824074074074,0.6747685185185185,0.6113317101859544,0.7322501907513489,0.1569444444444444,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.8,0.9403843048292916,808,472,0.5841584158415841,0.5126237623762376,0.6826732673267327,0.5779688986318993,0.7294845146706014,0.1700495049504951,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.8,0.9406854204985088,777,443,0.5701415701415702,0.5214929214929216,0.6836550836550838,0.6075952944269081,0.7348019163890721,0.1621621621621621,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.8,0.9499317039404672,784,487,0.6211734693877551,0.497704081632653,0.6818877551020407,0.5957952553101403,0.7383481424270155,0.1841836734693876,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.8,0.9461855787283124,862,485,0.5626450116009281,0.5299303944315545,0.685614849187935,0.625671267190043,0.7464573298898072,0.1556844547563804,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.8,0.9453896262278354,799,465,0.5819774718397998,0.5148936170212766,0.6708385481852316,0.610824868394811,0.736549353693962,0.155944931163955,0.125724485299151
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.8,0.6538855378303416,647,344,0.5316846986089645,0.5153013910355487,0.6432766615146831,0.3996095080324405,0.5282979766351252,0.1279752704791343,0.1286884686026846
