config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.8,0.7481060606060606,513,492,0.95906432748538,0.3547758284600389,0.5087719298245614,0.4900561856289831,0.6380276225014062,0.1539961013645224,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.8,0.7584222859989592,484,455,0.9400826446280992,0.3392561983471074,0.5128099173553718,0.4798980980215836,0.6418897777000685,0.1735537190082644,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.8,0.7564401439181205,532,518,0.9736842105263158,0.3319548872180451,0.4740601503759398,0.4763384253919256,0.6075427044766878,0.1421052631578946,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.8,0.7440277777777778,488,452,0.9262295081967212,0.3602459016393443,0.5049180327868852,0.4902852665338888,0.6285484204483675,0.1446721311475409,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.8,0.7638798180985682,566,518,0.9151943462897526,0.3657243816254417,0.5448763250883392,0.5068798337123874,0.6665648696385541,0.1791519434628974,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.8,0.7476997600956425,498,479,0.9618473895582328,0.3481927710843374,0.5044176706827309,0.4922816857990564,0.6334061709801166,0.1562248995983935,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.8,0.7569284772505127,525,507,0.9657142857142856,0.3375238095238095,0.5222857142857141,0.492662266489001,0.6467409324215017,0.1847619047619045,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.8,0.7646730177161379,542,510,0.940959409594096,0.3420664206642066,0.5214022140221403,0.4932563619417517,0.6481907794624675,0.1793357933579336,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.8,0.7338123063608284,491,467,0.9511201629327902,0.3270875763747454,0.5006109979633402,0.4686087050857093,0.6322413875139161,0.1735234215885948,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.8,0.8114583333333332,576,544,0.9444444444444444,0.3444444444444444,0.5298611111111112,0.5263218100104804,0.6706815180522151,0.1854166666666667,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.8,0.9436885939955214,864,550,0.6365740740740741,0.5039351851851852,0.6685185185185184,0.6113317101859544,0.7322501907513489,0.1645833333333332,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.8,0.9403843048292916,808,588,0.7277227722772277,0.473019801980198,0.6386138613861386,0.5779688986318993,0.7294845146706014,0.1655940594059405,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.8,0.9406854204985088,777,545,0.7014157014157014,0.5055341055341055,0.666924066924067,0.6075952944269081,0.7348019163890721,0.1613899613899615,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.8,0.9499317039404672,784,575,0.7334183673469388,0.4558673469387755,0.6420918367346938,0.5957952553101403,0.7383481424270155,0.1862244897959182,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.8,0.9461855787283124,862,639,0.7412993039443155,0.4893271461716937,0.6389791183294663,0.625671267190043,0.7464573298898072,0.1496519721577726,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.8,0.9453896262278354,799,575,0.7196495619524406,0.4778473091364205,0.63729662077597,0.610824868394811,0.736549353693962,0.1594493116395495,0.125724485299151
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.8,0.6538855378303416,647,517,0.7990726429675425,0.4556414219474498,0.58145285935085,0.3996095080324405,0.5282979766351252,0.1258114374034002,0.1286884686026846
Surrogate_GBoost_V1,2024-05-23_21-59-14_palegreen-local,surrogate model with GradientBoosting and 100% overlap,0.8,0.686673007615936,686,541,0.7886297376093294,0.4463556851311954,0.5924198250728864,0.4034413927202514,0.5513010469053942,0.1460641399416909,0.1478596541851427
Surrogate_GBoost_V1,2024-05-23_06-06-40_darkslateblue-they,surrogate model with GradientBoosting and 100% overlap,0.8,0.6752334019684305,736,598,0.8125,0.4426630434782609,0.5817934782608696,0.4165351194147479,0.5574162988585428,0.1391304347826086,0.1408811794437948
Surrogate_GBoost_V1,2024-05-22_05-37-59_darkviolet-but,surrogate model with GradientBoosting and 100% overlap,0.8,0.6959621076217234,678,524,0.7728613569321534,0.4690265486725664,0.6094395280235989,0.4206529968662883,0.5713384290168629,0.1404129793510325,0.1506854321505746
Surrogate_GBoost_V1,2024-05-22_13-56-59_darkblue-until,surrogate model with GradientBoosting and 100% overlap,0.8,0.6139125227996559,591,497,0.8409475465313029,0.4199661590524535,0.5793570219966159,0.3889101902560168,0.5627471060156555,0.1593908629441623,0.1738369157596386
Surrogate_GBoost_V1,2024-05-23_14-03-55_peru-civil,surrogate model with GradientBoosting and 100% overlap,0.8,0.6678473697214085,655,558,0.8519083969465648,0.403969465648855,0.5609160305343511,0.3981851511206518,0.5403978525069676,0.1569465648854961,0.1422127013863158
