config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
NoAdv_Surrogate_Data_V1,2024-06-17_16-35-16_olivedrab-fund,"surrogate model with 0% train, test overlap",0.6995146833193043,0.6641799121828981,368,296,0.8043478260869565,0.4356093302498636,0.7232984009948161,0.3786241754095854,0.7125088537177773,0.2876890707449525,0.3338846783081918
NoAdv_Surrogate_Data_V1,2024-06-19_09-19-23_gainsboro-successful,"surrogate model with 0% train, test overlap",0.6995146833193043,0.6804492821876291,355,264,0.7436619718309859,0.457844636138119,0.6942523045087747,0.3726327742874507,0.671202267424757,0.2364076683706557,0.2985694931373063
NoAdv_Surrogate_Data_V1,2024-06-19_06-27-35_chocolate-goal,"surrogate model with 0% train, test overlap",0.6995146833193043,0.7216455467363926,343,244,0.7113702623906706,0.4797288130799376,0.7122469266450355,0.4156601510212431,0.6818395067499242,0.2325181135650978,0.266179355728681
NoAdv_Surrogate_Data_V1,2024-06-19_03-19-34_indigo-idea,"surrogate model with 0% train, test overlap",0.6995146833193043,0.6935888125191252,347,294,0.8472622478386167,0.3935355923897522,0.6396672686278069,0.3511846315794815,0.6201186662935132,0.2461316762380546,0.2689340347140316
NoAdv_Surrogate_Data_V1,2024-06-17_13-42-29_sienna-boy,"surrogate model with 0% train, test overlap",0.6995146833193043,0.7170627554290362,369,277,0.7506775067750677,0.4752480956681052,0.6744556024257531,0.4214673558387122,0.6633857373239884,0.1992075067576478,0.2419183814852762
NoAdv_Surrogate_Data_V1,2024-06-17_10-43-02_seagreen-hear,"surrogate model with 0% train, test overlap",0.6995146833193043,0.7428633397092016,445,286,0.6426966292134831,0.5065444659767133,0.7004763194739914,0.4555934364168665,0.6920365658674595,0.193931853497278,0.2364431294505929
NoAdv_Surrogate_Data_V2,2024-06-19_21-25-24_beige-at,"surrogate model with 25% train, test overlap",0.6995146833193043,0.7363198856568532,426,291,0.6830985915492958,0.5250699143401484,0.7299362707370997,0.4579413342812091,0.7206576229817172,0.2048663563969512,0.2627162887005081
NoAdv_Surrogate_Data_V2,2024-06-20_00-17-59_darkslategray-suddenly,"surrogate model with 25% train, test overlap",0.6995146833193043,0.676494113578341,378,314,0.8306878306878307,0.4465604751124515,0.6685438058091011,0.3630353608311824,0.644916031202698,0.2219833306966496,0.2818806703715156
NoAdv_Surrogate_Data_V2,2024-06-19_12-23-10_purple-section,"surrogate model with 25% train, test overlap",0.6995146833193043,0.7309293146085112,398,309,0.7763819095477387,0.4600126744632935,0.6820372656330329,0.4228183458119494,0.6772686204599577,0.2220245911697393,0.2544502746480083
NoAdv_Surrogate_Data_V2,2024-06-19_15-33-43_lightsteelblue-home,"surrogate model with 25% train, test overlap",0.6995146833193043,0.7233164605985868,409,307,0.7506112469437652,0.4876559901921369,0.7230471564885546,0.4442838958168462,0.7176011398668378,0.2353911662964176,0.2733172440499916
NoAdv_Surrogate_Data_V2,2024-06-20_03-08-51_mintcream-sport,"surrogate model with 25% train, test overlap",0.6995146833193043,0.7922269556101434,497,318,0.6398390342052314,0.5352315399938082,0.7541381720150963,0.5206391969817108,0.7588914992595324,0.218906632021288,0.2382523022778215
NoAdv_Surrogate_Data_V2,2024-06-19_18-21-14_mediumorchid-war,"surrogate model with 25% train, test overlap",0.6995146833193043,0.7100598635433193,349,294,0.8424068767908309,0.4516144914780459,0.667241992389749,0.3873658417706177,0.6685025945993253,0.215627500911703,0.2811367528287075
NoAdv_Surrogate_Data_V3,2024-06-20_14-59-22_lightcyan-nice,"surrogate model with 50% train, test overlap",0.6995146833193043,0.7207768922973272,362,319,0.8812154696132597,0.4301387094354019,0.6751179038505388,0.4188959945382736,0.6739463390803956,0.2449791944151369,0.255050344542122
NoAdv_Surrogate_Data_V3,2024-06-20_06-07-09_mediumorchid-history,"surrogate model with 50% train, test overlap",0.6995146833193043,0.7380953364261048,438,324,0.7397260273972602,0.464183726334524,0.702389762318054,0.4422301051164067,0.6974280500628424,0.2382060359835299,0.2551979449464356
NoAdv_Surrogate_Data_V3,2024-06-20_17-56-25_cornflowerblue-enjoy,"surrogate model with 50% train, test overlap",0.6995146833193043,0.7035899021235147,370,304,0.8216216216216217,0.4584698946478169,0.6675958899459579,0.4086129419734035,0.6615083154945147,0.2091259952981409,0.2528953735211112
NoAdv_Surrogate_Data_V3,2024-06-20_09-14-02_darkolivegreen-add,"surrogate model with 50% train, test overlap",0.6995146833193043,0.747377007082686,410,320,0.7804878048780488,0.4565892923577858,0.6934359626022573,0.4458911417543776,0.7074779677050551,0.2368466702444714,0.2615868259506774
NoAdv_Surrogate_Data_V3,2024-06-20_12-11-41_aquamarine-feel,"surrogate model with 50% train, test overlap",0.6995146833193043,0.6927920076776717,299,247,0.8260869565217391,0.4410174020259688,0.6791322506998262,0.4065030684748508,0.6829063890721037,0.2381148486738573,0.2764033205972528
NoAdv_Surrogate_Data_V3,2024-06-20_20-44-15_crimson-nature,"surrogate model with 50% train, test overlap",0.6995146833193043,0.7215596530814766,410,312,0.7609756097560976,0.4858602472120037,0.7098251820425997,0.4525089829624362,0.712956550086133,0.2239649348305959,0.2604475671236968
NoAdv_Surrogate_Data_V4,2024-06-21_06-00-18_seashell-condition,"surrogate model with 75% train, test overlap",0.6995146833193043,0.6772049598600163,338,291,0.8609467455621301,0.4344360661826208,0.6636648171137008,0.3846449913825155,0.6563529181016041,0.22922875093108,0.2717079267190885
NoAdv_Surrogate_Data_V4,2024-06-21_02-58-58_red-whole,"surrogate model with 75% train, test overlap",0.6995146833193043,0.6784027462694092,317,302,0.9526813880126184,0.3974385176331251,0.6285407426135238,0.3639655884930347,0.6294848637455246,0.2311022249803986,0.2655192752524898
NoAdv_Surrogate_Data_V4,2024-06-21_08-58-49_darkviolet-like,"surrogate model with 75% train, test overlap",0.6995146833193043,0.7014014149833541,317,307,0.9684542586750788,0.3721011523320799,0.6566271569299192,0.3862342576531725,0.6632358309424092,0.2845260045978393,0.2770015732892367
NoAdv_Surrogate_Data_V4,2024-06-21_14-47-34_orangered-time,"surrogate model with 75% train, test overlap",0.6995146833193043,0.6880807200851577,337,303,0.8991097922848664,0.4143220805258072,0.6675256923062443,0.4056515362199326,0.6658205022325158,0.253203611780437,0.2601689660125831
NoAdv_Surrogate_Data_V4,2024-06-21_11-37-07_lightskyblue-wind,"surrogate model with 75% train, test overlap",0.6995146833193043,0.7275231845566307,382,332,0.8691099476439791,0.4600606097789838,0.7016936816230748,0.4322757695744572,0.7047144743888969,0.2416330718440909,0.2724387048144396
NoAdv_Surrogate_Data_V4,2024-06-20_23-51-05_chocolate-condition,"surrogate model with 75% train, test overlap",0.6995146833193043,0.687535995809614,310,286,0.9225806451612903,0.3713982349578812,0.6346672382038236,0.3757555520945705,0.6456375676970855,0.2632690032459424,0.2698820156025149
NoAdv_Surrogate_Data_V5,2024-05-10_01-41-38_lightslategray-operation,"surrogate model with 100% train, test overlap",0.6995146833193043,0.6925224882454093,358,338,0.9441340782122905,0.4161493768427675,0.6598711474184102,0.4162934396882161,0.6594113104335771,0.2437217705756427,0.243117870745361
NoAdv_Surrogate_Data_V5,2024-05-09_14-13-30_orangered-collection,"surrogate model with 100% train, test overlap",0.6995146833193043,0.6948292534782626,348,327,0.9396551724137931,0.4271518570405932,0.6629175243221226,0.4261848608797298,0.6630995667031007,0.2357656672815293,0.2369147058233708
NoAdv_Surrogate_Data_V5,2024-05-09_17-17-19_lightsalmon-manage,"surrogate model with 100% train, test overlap",0.6995146833193043,0.6994648409376969,356,338,0.949438202247191,0.4166762530211368,0.6602051167955318,0.4216651560438033,0.6583272207340946,0.2435288637743949,0.2366620646902912
NoAdv_Surrogate_Data_V5,2024-05-09_23-02-23_lightcoral-owner,"surrogate model with 100% train, test overlap",0.6995146833193043,0.6925821930663429,358,339,0.946927374301676,0.4311013661859718,0.6914066592050762,0.4304035490780065,0.6879112160818291,0.2603052930191043,0.2575076670038226
NoAdv_Surrogate_Data_V5,2024-05-09_20-00-28_mediumpurple-class,"surrogate model with 100% train, test overlap",0.6995146833193043,0.6938594036801251,323,290,0.8978328173374613,0.4258446430200353,0.6623573187779452,0.4164512878296887,0.6571733087437384,0.23651267575790996,0.24072202091404965
