config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
NoAdv_Surrogate_Data_V1,2024-06-17_16-35-16_olivedrab-fund,"surrogate model with 0% train, test overlap",0.6994648409376969,0.6641799121828981,368,297,0.8070652173913043,0.4491002254189804,0.7229907555306991,0.3786241754095854,0.7125088537177773,0.2738905301117187,0.3338846783081918
NoAdv_Surrogate_Data_V1,2024-06-19_09-19-23_gainsboro-successful,"surrogate model with 0% train, test overlap",0.6994648409376969,0.6804492821876291,355,266,0.7492957746478873,0.4628561299310229,0.6920484955103384,0.3726327742874507,0.671202267424757,0.2291923655793155,0.2985694931373063
NoAdv_Surrogate_Data_V1,2024-06-19_06-27-35_chocolate-goal,"surrogate model with 0% train, test overlap",0.6994648409376969,0.7216455467363926,343,244,0.7113702623906706,0.4899555556410254,0.7107401974427173,0.4156601510212431,0.6818395067499242,0.2207846418016919,0.266179355728681
NoAdv_Surrogate_Data_V1,2024-06-19_03-19-34_indigo-idea,"surrogate model with 0% train, test overlap",0.6994648409376969,0.6935888125191252,347,293,0.8443804034582133,0.3993750310965963,0.6378801324072414,0.3511846315794815,0.6201186662935132,0.238505101310645,0.2689340347140316
NoAdv_Surrogate_Data_V1,2024-06-17_13-42-29_sienna-boy,"surrogate model with 0% train, test overlap",0.6994648409376969,0.7170627554290362,369,275,0.7452574525745257,0.4847728875046782,0.6738161067610641,0.4214673558387122,0.6633857373239884,0.1890432192563858,0.2419183814852762
NoAdv_Surrogate_Data_V1,2024-06-17_10-43-02_seagreen-hear,"surrogate model with 0% train, test overlap",0.6994648409376969,0.7428633397092016,445,287,0.6449438202247191,0.5109342225175159,0.6993418060699519,0.4555934364168665,0.6920365658674595,0.188407583552436,0.2364431294505929
NoAdv_Surrogate_Data_V2,2024-06-19_21-25-24_beige-at,"surrogate model with 25% train, test overlap",0.6994648409376969,0.7363198856568532,426,285,0.6690140845070423,0.5346496131222384,0.7281914688692898,0.4579413342812091,0.7206576229817172,0.1935418557470514,0.2627162887005081
NoAdv_Surrogate_Data_V2,2024-06-20_00-17-59_darkslategray-suddenly,"surrogate model with 25% train, test overlap",0.6994648409376969,0.676494113578341,378,308,0.8148148148148148,0.4549823622440716,0.6672174942585555,0.3630353608311824,0.644916031202698,0.2122351320144838,0.2818806703715156
NoAdv_Surrogate_Data_V2,2024-06-19_12-23-10_purple-section,"surrogate model with 25% train, test overlap",0.6994648409376969,0.7309293146085112,398,306,0.7688442211055276,0.4682181685041436,0.6812384039361851,0.4228183458119494,0.6772686204599577,0.2130202354320414,0.2544502746480083
NoAdv_Surrogate_Data_V2,2024-06-19_15-33-43_lightsteelblue-home,"surrogate model with 25% train, test overlap",0.6994648409376969,0.7233164605985868,409,305,0.7457212713936431,0.4938638640745035,0.7203945968038646,0.4442838958168462,0.7176011398668378,0.2265307327293611,0.2733172440499916
NoAdv_Surrogate_Data_V2,2024-06-20_03-08-51_mintcream-sport,"surrogate model with 25% train, test overlap",0.6994648409376969,0.7922269556101434,497,316,0.635814889336016,0.5416560351362752,0.7532788985535326,0.5206391969817108,0.7588914992595324,0.2116228634172573,0.2382523022778215
NoAdv_Surrogate_Data_V2,2024-06-19_18-21-14_mediumorchid-war,"surrogate model with 25% train, test overlap",0.6994648409376969,0.7100598635433193,349,297,0.8510028653295129,0.4565449586190841,0.6667085944912641,0.3873658417706177,0.6685025945993253,0.2101636358721799,0.2811367528287075
NoAdv_Surrogate_Data_V3,2024-06-20_14-59-22_lightcyan-nice,"surrogate model with 50% train, test overlap",0.6994648409376969,0.7207768922973272,362,320,0.8839779005524862,0.4396340972184975,0.6766709986414258,0.4188959945382736,0.6739463390803956,0.2370369014229282,0.255050344542122
NoAdv_Surrogate_Data_V3,2024-06-20_06-07-09_mediumorchid-history,"surrogate model with 50% train, test overlap",0.6994648409376969,0.7380953364261048,438,323,0.7374429223744292,0.4687282789567096,0.7002667015391516,0.4422301051164067,0.6974280500628424,0.231538422582442,0.2551979449464356
NoAdv_Surrogate_Data_V3,2024-06-20_17-56-25_cornflowerblue-enjoy,"surrogate model with 50% train, test overlap",0.6994648409376969,0.7035899021235147,370,302,0.8162162162162162,0.4634200258614734,0.6663417771869174,0.4086129419734035,0.6615083154945147,0.202921751325444,0.2528953735211112
NoAdv_Surrogate_Data_V3,2024-06-20_09-14-02_darkolivegreen-add,"surrogate model with 50% train, test overlap",0.6994648409376969,0.747377007082686,410,324,0.7902439024390244,0.4705818517099062,0.6943470578742025,0.4458911417543776,0.7074779677050551,0.2237652061642963,0.2615868259506774
NoAdv_Surrogate_Data_V3,2024-06-20_12-11-41_aquamarine-feel,"surrogate model with 50% train, test overlap",0.6994648409376969,0.6927920076776717,299,249,0.8327759197324415,0.4510074918694471,0.6795400149460946,0.4065030684748508,0.6829063890721037,0.2285325230766474,0.2764033205972528
NoAdv_Surrogate_Data_V3,2024-06-20_20-44-15_crimson-nature,"surrogate model with 50% train, test overlap",0.6994648409376969,0.7215596530814766,410,304,0.7414634146341463,0.4935413783260359,0.7092536459490631,0.4525089829624362,0.712956550086133,0.2157122676230272,0.2604475671236968
NoAdv_Surrogate_Data_V4,2024-06-21_06-00-18_seashell-condition,"surrogate model with 75% train, test overlap",0.6994648409376969,0.6772049598600163,338,286,0.8461538461538461,0.4469420254592673,0.6628582019329468,0.3846449913825155,0.6563529181016041,0.2159161764736794,0.2717079267190885
NoAdv_Surrogate_Data_V4,2024-06-21_02-58-58_red-whole,"surrogate model with 75% train, test overlap",0.6994648409376969,0.6784027462694092,317,299,0.943217665615142,0.409142623807595,0.6262246530054202,0.3639655884930347,0.6294848637455246,0.2170820291978252,0.2655192752524898
NoAdv_Surrogate_Data_V4,2024-06-21_08-58-49_darkviolet-like,"surrogate model with 75% train, test overlap",0.6994648409376969,0.7014014149833541,317,309,0.9747634069400632,0.3811437460742726,0.6558018033172482,0.3862342576531725,0.6632358309424092,0.2746580572429756,0.2770015732892367
NoAdv_Surrogate_Data_V4,2024-06-21_14-47-34_orangered-time,"surrogate model with 75% train, test overlap",0.6994648409376969,0.6880807200851577,337,303,0.8991097922848664,0.4229993712845901,0.6645707052098171,0.4056515362199326,0.6658205022325158,0.2415713339252269,0.2601689660125831
NoAdv_Surrogate_Data_V4,2024-06-21_11-37-07_lightskyblue-wind,"surrogate model with 75% train, test overlap",0.6994648409376969,0.7275231845566307,382,330,0.8638743455497382,0.4706529303928362,0.7013454044962647,0.4322757695744572,0.7047144743888969,0.2306924741034284,0.2724387048144396
NoAdv_Surrogate_Data_V4,2024-06-20_23-51-05_chocolate-condition,"surrogate model with 75% train, test overlap",0.6994648409376969,0.687535995809614,310,282,0.9096774193548388,0.3803825333641064,0.6347365161028344,0.3757555520945705,0.6456375676970855,0.254353982738728,0.2698820156025149
NoAdv_Surrogate_Data_V5,2024-05-10_01-41-38_lightslategray-operation,"surrogate model with 100% train, test overlap",0.6994648409376969,0.6925224882454093,358,338,0.9441340782122905,0.4253018521767474,0.6585199504795597,0.4162934396882161,0.6594113104335771,0.2332180983028123,0.243117870745361
NoAdv_Surrogate_Data_V5,2024-05-09_11-28-00_lemonchiffon-carry,"surrogate model with 100% train, test overlap",0.6994648409376969,0.6995146833193043,351,330,0.9401709401709402,0.4190532027712101,0.6804628994709839,0.4057405962472302,0.6807517502075713,0.2614096966997737,0.2750111539603411
NoAdv_Surrogate_Data_V5,2024-05-09_14-13-30_orangered-collection,"surrogate model with 100% train, test overlap",0.6994648409376969,0.6948292534782626,348,329,0.9454022988505748,0.4357798984973398,0.6638335191944683,0.4261848608797298,0.6630995667031007,0.2280536206971284,0.2369147058233708
NoAdv_Surrogate_Data_V5,2024-05-09_23-02-23_lightcoral-owner,"surrogate model with 100% train, test overlap",0.6994648409376969,0.6925821930663429,358,341,0.952513966480447,0.4389212364634084,0.6892865951249934,0.4304035490780065,0.6879112160818291,0.2503653586615849,0.2575076670038226
NoAdv_Surrogate_Data_V5,2024-05-09_20-00-28_mediumpurple-class,"surrogate model with 100% train, test overlap",0.6994648409376969,0.6938594036801251,323,291,0.9009287925696594,0.4320726330613409,0.6602738218042546,0.4164512878296887,0.6571733087437384,0.22820118874291373,0.24072202091404965
