config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
NoAdv_Surrogate_Data_V1,2024-06-17_16-35-16_olivedrab-fund,"surrogate model with 0% train, test overlap",0.6925821930663429,0.6641799121828981,368,298,0.8097826086956522,0.4389361387791288,0.7225180479613975,0.3786241754095854,0.7125088537177773,0.2835819091822686,0.3338846783081918
NoAdv_Surrogate_Data_V1,2024-06-19_09-19-23_gainsboro-successful,"surrogate model with 0% train, test overlap",0.6925821930663429,0.6804492821876291,355,265,0.7464788732394366,0.4534152604582399,0.6915283420413794,0.3726327742874507,0.671202267424757,0.2381130815831394,0.2985694931373063
NoAdv_Surrogate_Data_V1,2024-06-19_06-27-35_chocolate-goal,"surrogate model with 0% train, test overlap",0.6925821930663429,0.7216455467363926,343,243,0.7084548104956269,0.4810105383119036,0.7105171658400696,0.4156601510212431,0.6818395067499242,0.229506627528166,0.266179355728681
NoAdv_Surrogate_Data_V1,2024-06-19_03-19-34_indigo-idea,"surrogate model with 0% train, test overlap",0.6925821930663429,0.6935888125191252,347,293,0.8443804034582133,0.3923337173957239,0.6363331104358654,0.3511846315794815,0.6201186662935132,0.2439993930401414,0.2689340347140316
NoAdv_Surrogate_Data_V1,2024-06-17_13-42-29_sienna-boy,"surrogate model with 0% train, test overlap",0.6925821930663429,0.7170627554290362,369,276,0.7479674796747967,0.4731785676869962,0.6717833923419991,0.4214673558387122,0.6633857373239884,0.1986048246550029,0.2419183814852762
NoAdv_Surrogate_Data_V1,2024-06-17_10-43-02_seagreen-hear,"surrogate model with 0% train, test overlap",0.6925821930663429,0.7428633397092016,445,286,0.6426966292134831,0.5079305504456255,0.6983872871771108,0.4555934364168665,0.6920365658674595,0.1904567367314853,0.2364431294505929
NoAdv_Surrogate_Data_V2,2024-06-19_21-25-24_beige-at,"surrogate model with 25% train, test overlap",0.6925821930663429,0.7363198856568532,426,296,0.6948356807511737,0.5234298988018397,0.7277237647824653,0.4579413342812091,0.7206576229817172,0.2042938659806256,0.2627162887005081
NoAdv_Surrogate_Data_V2,2024-06-20_00-17-59_darkslategray-suddenly,"surrogate model with 25% train, test overlap",0.6925821930663429,0.676494113578341,378,316,0.8359788359788359,0.4462419966447203,0.6648017441904243,0.3630353608311824,0.644916031202698,0.2185597475457039,0.2818806703715156
NoAdv_Surrogate_Data_V2,2024-06-19_12-23-10_purple-section,"surrogate model with 25% train, test overlap",0.6925821930663429,0.7309293146085112,398,308,0.7738693467336684,0.4598209400233006,0.6802262482530648,0.4228183458119494,0.6772686204599577,0.2204053082297641,0.2544502746480083
NoAdv_Surrogate_Data_V2,2024-06-19_15-33-43_lightsteelblue-home,"surrogate model with 25% train, test overlap",0.6925821930663429,0.7233164605985868,409,309,0.7555012224938875,0.4849592370396398,0.7221502960745124,0.4442838958168462,0.7176011398668378,0.2371910590348726,0.2733172440499916
NoAdv_Surrogate_Data_V2,2024-06-20_03-08-51_mintcream-sport,"surrogate model with 25% train, test overlap",0.6925821930663429,0.7922269556101434,497,328,0.6599597585513078,0.5342006239104825,0.7519492726916978,0.5206391969817108,0.7588914992595324,0.2177486487812152,0.2382523022778215
NoAdv_Surrogate_Data_V2,2024-06-19_18-21-14_mediumorchid-war,"surrogate model with 25% train, test overlap",0.6925821930663429,0.7100598635433193,349,306,0.8767908309455588,0.4478811296485067,0.6647246289588483,0.3873658417706177,0.6685025945993253,0.2168434993103415,0.2811367528287075
NoAdv_Surrogate_Data_V3,2024-06-20_14-59-22_lightcyan-nice,"surrogate model with 50% train, test overlap",0.6925821930663429,0.7207768922973272,362,324,0.8950276243093923,0.4322211043106286,0.6740800784180511,0.4188959945382736,0.6739463390803956,0.2418589741074224,0.255050344542122
NoAdv_Surrogate_Data_V3,2024-06-20_06-07-09_mediumorchid-history,"surrogate model with 50% train, test overlap",0.6925821930663429,0.7380953364261048,438,332,0.7579908675799086,0.4602660058113524,0.7001239962206273,0.4422301051164067,0.6974280500628424,0.2398579904092748,0.2551979449464356
NoAdv_Surrogate_Data_V3,2024-06-20_17-56-25_cornflowerblue-enjoy,"surrogate model with 50% train, test overlap",0.6925821930663429,0.7035899021235147,370,308,0.8324324324324325,0.4565382362425423,0.6648763964138075,0.4086129419734035,0.6615083154945147,0.2083381601712651,0.2528953735211112
NoAdv_Surrogate_Data_V3,2024-06-20_09-14-02_darkolivegreen-add,"surrogate model with 50% train, test overlap",0.6925821930663429,0.747377007082686,410,325,0.7926829268292683,0.4581245394679876,0.693176302535629,0.4458911417543776,0.7074779677050551,0.2350517630676413,0.2615868259506774
NoAdv_Surrogate_Data_V3,2024-06-20_12-11-41_aquamarine-feel,"surrogate model with 50% train, test overlap",0.6925821930663429,0.6927920076776717,299,247,0.8260869565217391,0.4404633516769871,0.6765075352253875,0.4065030684748508,0.6829063890721037,0.2360441835484004,0.2764033205972528
NoAdv_Surrogate_Data_V3,2024-06-20_20-44-15_crimson-nature,"surrogate model with 50% train, test overlap",0.6925821930663429,0.7215596530814766,410,311,0.7585365853658537,0.4861694768118037,0.7073254529069931,0.4525089829624362,0.712956550086133,0.2211559760951894,0.2604475671236968
NoAdv_Surrogate_Data_V4,2024-06-21_06-00-18_seashell-condition,"surrogate model with 75% train, test overlap",0.6925821930663429,0.6772049598600163,338,290,0.8579881656804734,0.4322773448227585,0.661733779868053,0.3846449913825155,0.6563529181016041,0.2294564350452945,0.2717079267190885
NoAdv_Surrogate_Data_V4,2024-06-21_02-58-58_red-whole,"surrogate model with 75% train, test overlap",0.6925821930663429,0.6784027462694092,317,300,0.946372239747634,0.4026412033757852,0.6251921882395717,0.3639655884930347,0.6294848637455246,0.2225509848637864,0.2655192752524898
NoAdv_Surrogate_Data_V4,2024-06-21_08-58-49_darkviolet-like,"surrogate model with 75% train, test overlap",0.6925821930663429,0.7014014149833541,317,308,0.9716088328075708,0.3760939466287153,0.6546650583171997,0.3862342576531725,0.6632358309424092,0.2785711116884843,0.2770015732892367
NoAdv_Surrogate_Data_V4,2024-06-21_14-47-34_orangered-time,"surrogate model with 75% train, test overlap",0.6925821930663429,0.6880807200851577,337,303,0.8991097922848664,0.4162980346351989,0.6645710802517698,0.4056515362199326,0.6658205022325158,0.2482730456165709,0.2601689660125831
NoAdv_Surrogate_Data_V4,2024-06-21_11-37-07_lightskyblue-wind,"surrogate model with 75% train, test overlap",0.6925821930663429,0.7275231845566307,382,341,0.8926701570680629,0.4577994945518869,0.699764270108695,0.4322757695744572,0.7047144743888969,0.2419647755568081,0.2724387048144396
NoAdv_Surrogate_Data_V4,2024-06-20_23-51-05_chocolate-condition,"surrogate model with 75% train, test overlap",0.6925821930663429,0.687535995809614,310,286,0.9225806451612903,0.3730474388172335,0.6345103335695249,0.3757555520945705,0.6456375676970855,0.2614628947522913,0.2698820156025149
NoAdv_Surrogate_Data_V5,2024-05-10_01-41-38_lightslategray-operation,"surrogate model with 100% train, test overlap",0.6925821930663429,0.6925224882454093,358,344,0.9608938547486032,0.41614114401421,0.656852961887642,0.4162934396882161,0.6594113104335771,0.2407118178734319,0.243117870745361
NoAdv_Surrogate_Data_V5,2024-05-09_11-28-00_lemonchiffon-carry,"surrogate model with 100% train, test overlap",0.6925821930663429,0.6995146833193043,351,335,0.9544159544159544,0.4101747791881415,0.678001320399997,0.4057405962472302,0.6807517502075713,0.2678265412118555,0.2750111539603411
NoAdv_Surrogate_Data_V5,2024-05-09_14-13-30_orangered-collection,"surrogate model with 100% train, test overlap",0.6925821930663429,0.6948292534782626,348,329,0.9454022988505748,0.4299461928695233,0.6612755464289108,0.4261848608797298,0.6630995667031007,0.2313293535593875,0.2369147058233708
NoAdv_Surrogate_Data_V5,2024-05-09_17-17-19_lightsalmon-manage,"surrogate model with 100% train, test overlap",0.6925821930663429,0.6994648409376969,356,343,0.9634831460674156,0.417509470534433,0.6573745801277827,0.4216651560438033,0.6583272207340946,0.2398651095933497,0.2366620646902912
NoAdv_Surrogate_Data_V5,2024-05-09_20-00-28_mediumpurple-class,"surrogate model with 100% train, test overlap",0.6925821930663429,0.6938594036801251,323,294,0.9102167182662538,0.4248979576622714,0.6608950042977237,0.4164512878296887,0.6571733087437384,0.23599704663545235,0.24072202091404965
