workspace,use_model_adv,use_test_adv,test_description,fpr,tpr
2024-06-09_16-46-14_darkorchid-later,False,False,train from 40k; test from 40k,0.012,0.919
2024-06-09_16-47-28_lavenderblush-agent,False,False,train from 40k; test from 40k,0.0125,0.922
2024-06-09_16-48-40_mediumslateblue-agreement,False,False,train from 40k; test from 40k,0.0095,0.9135
2024-06-09_16-58-58_lawngreen-loss,False,False,train from 40k; test from 40k,0.0105,0.924
2024-06-09_17-00-14_chartreuse-every,False,False,train from 40k; test from 40k,0.009,0.9215
2024-04-18_14-12-51_lightblue-around,False,False,train from full; test from full,0.011,0.954
2024-05-10_15-03-09_darkred-number,False,False,train from full; test from full,0.012,0.9555
2024-04-22_11-20-36_yellow-majority,False,False,train from full; test from full,0.0105,0.9665
2024-05-10_23-07-35_beige-western,False,False,train from full; test from full,0.0085,0.97
2024-04-23_05-02-11_cadetblue-right,False,False,train from full; test from full,0.0095,0.9595
2024-06-17_18-23-01_rosybrown-finish,False,False,v3.3CRS; test from full,0.01,0.9625
