config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.5925768546653625,400,35,0.0875,0.946740262266195,0.904272319483041,0.3121778063555942,0.5228354269429805,-0.042467942783154,0.2106576205873862
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.5715920388468112,400,33,0.0825,0.9464790301306246,0.9195466171132224,0.3253765731552074,0.5258622822196157,-0.0269324130174023,0.2004857090644082
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.6090802807178817,400,39,0.0975,0.943239138273186,0.9215009090047668,0.3152462100492355,0.4863838097704848,-0.0217382292684193,0.1711375997212493
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.620521674683311,400,28,0.07,0.9599516711363064,0.9364830330389252,0.3245917013942453,0.5282408336552726,-0.0234686380973809,0.2036491322610273
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.5523714811365984,400,33,0.0825,0.9444216737361252,0.9180551747960638,0.3184107436444176,0.5410957694272277,-0.0263664989400612,0.22268502578281
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.8114583333333332,0.5838547861647735,400,35,0.0875,0.9352507300261462,0.9066955931843402,0.3096377914647092,0.5165980289892329,-0.0285551368418059,0.2069602375245236
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.707024383640096,400,224,0.56,0.6915704345002968,0.740265476470677,0.3819235019244233,0.5146311990252173,0.0486950419703802,0.1327076971007939
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.70414881993007,400,229,0.5725,0.6920381540352096,0.7434497719806459,0.4099725669237783,0.5518841308423569,0.0514116179454362,0.1419115639185785
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.6692694805194805,400,215,0.5375,0.7056046043506491,0.7370706049904112,0.395665003076159,0.5058643592996154,0.0314660006397621,0.1101993562234563
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.6707886904761905,400,230,0.575,0.6688846291269122,0.7249810292353085,0.3851888232783214,0.4979419464103907,0.0560964001083963,0.1127531231320692
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.7072982919857922,400,232,0.58,0.6686000768652474,0.7074214206703507,0.408867455516539,0.5226892135717824,0.0388213438051033,0.1138217580552434
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.8114583333333332,0.704229157875393,400,225,0.5625,0.6870640699099269,0.7360592051551157,0.4189762628228082,0.5354172599140167,0.0489951352451888,0.1164409970912084
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.7380123848307828,400,379,0.9475,0.4767482537969357,0.6272113114773639,0.4532743616378261,0.6230925561666408,0.1504630576804281,0.1698181945288147
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.7441102826696864,400,393,0.9825,0.4946137618335147,0.632834894959196,0.4894688585938487,0.6346488077924782,0.1382211331256812,0.1451799491986294
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.7530656403387632,400,390,0.975,0.5039302699386021,0.6473890351433957,0.4999516100684325,0.6468747445038135,0.1434587652047936,0.146923134435381
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.75625,400,377,0.9425,0.5201765132212725,0.6571788079312223,0.5012073952828204,0.6554723988076679,0.1370022947099498,0.1542650035248475
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.7387457124012597,400,377,0.9425,0.4871574769764229,0.6147902551069728,0.4695722749304032,0.6206505049955768,0.1276327781305499,0.1510782300651736
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.8114583333333332,0.75,400,386,0.965,0.5006588796904284,0.6309251680157797,0.4736619352157651,0.6333366448710231,0.1302662883253512,0.159674709655258
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.8114583333333332,0.7481060606060606,400,390,0.975,0.4845649382099051,0.6340775603006445,0.4804432224095719,0.6390981591106262,0.1495126220907394,0.1586549367010542
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.8114583333333332,0.7584222859989592,400,387,0.9675,0.4888964204528511,0.63336355180763,0.4822562585444568,0.6399432177333673,0.1444671313547789,0.1576869591889104
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.8114583333333332,0.7638798180985682,400,382,0.955,0.5261206803607766,0.6683653544628123,0.5082769820301617,0.6720997817195067,0.1422446741020356,0.163822799689345
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.8114583333333332,0.7569284772505127,400,389,0.9725,0.5069145019822479,0.650367314952088,0.4986461007049987,0.6525835213633903,0.1434528129698401,0.1539374206583915
