config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.5925768546653625,400,29,0.0725,0.9447480965034952,0.9193387480298169,0.3180901037705345,0.5248913902031017,-0.0254093484736784,0.2068012864325671
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.5715920388468112,400,31,0.0775,0.937434333957844,0.9045632950307976,0.3159984576670045,0.5310001769025641,-0.0328710389270464,0.2150017192355595
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.6090802807178817,400,40,0.1,0.9302529042888672,0.9090231241134864,0.3194696980122823,0.5280507727549476,-0.0212297801753805,0.2085810747426652
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.620521674683311,400,32,0.08,0.9448203060896152,0.9209580454549244,0.3216604525654533,0.5147672620308228,-0.0238622606346907,0.1931068094653694
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.5523714811365984,400,28,0.07,0.942657314904552,0.918253913381452,0.316337345051807,0.5243426266288684,-0.0244034015231001,0.2080052815770614
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7584222859989592,0.5838547861647735,400,35,0.0875,0.9404554907813992,0.9211080246142466,0.3108654265441698,0.5118797192321708,-0.0193474661671526,0.2010142926880009
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.707024383640096,400,202,0.505,0.696026056314916,0.7551257829617697,0.3933203503469575,0.5428216108900911,0.0590997266468537,0.1495012605431335
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.70414881993007,400,206,0.515,0.6908209283863157,0.7468528623627649,0.4053611670186015,0.5457321840389893,0.0560319339764492,0.1403710170203877
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.6692694805194805,400,201,0.5025,0.6873294148115883,0.7368951708727559,0.4020368443981408,0.5326282320196682,0.0495657560611676,0.1305913876215274
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.6707886904761905,400,216,0.54,0.6636310518868911,0.738105737244482,0.3879935069281128,0.5214659647432895,0.0744746853575909,0.1334724578151767
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.7072982919857922,400,216,0.54,0.668995360908461,0.7202027588498356,0.4082613432105801,0.5181381961756517,0.0512073979413746,0.1098768529650715
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.7584222859989592,0.704229157875393,400,171,0.4275,0.7324595663049813,0.7739458929657588,0.4273415466753643,0.5458240327723055,0.0414863266607774,0.1184824860969412
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.7584222859989592,0.7380123848307828,400,370,0.925,0.4650943583397772,0.6270560658239509,0.4410407351302754,0.6127185157850302,0.1619617074841737,0.1716777806547548
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.7584222859989592,0.7441102826696864,400,383,0.9575,0.4910619686984233,0.624158974802613,0.4797291947654405,0.6206440665763676,0.1330970061041896,0.140914871810927
