config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.5925768546653625,0.5715920388468112,400,400,1.0,0.3168859921420695,0.5032322426403872,0.3159103913707126,0.5025595401612509,0.1863462504983177,0.1866491487905383
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.5925768546653625,0.6090802807178817,400,399,0.9975,0.3212444122105712,0.5235109450137385,0.3202726901744875,0.5243769345654734,0.2022665328031672,0.2041042443909859
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.5925768546653625,0.620521674683311,400,399,0.9975,0.3196253218073893,0.4933559010156824,0.3178358272332749,0.4919128895003672,0.1737305792082931,0.1740770622670923
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.5925768546653625,0.5523714811365984,400,400,1.0,0.3257439943971164,0.5187674147216914,0.3245593355446878,0.5178383291293764,0.1930234203245749,0.1932789935846886
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.5925768546653625,0.5838547861647735,400,400,1.0,0.3132527695219469,0.5180987508107462,0.3108654265441698,0.5164435836720603,0.2048459812887992,0.2055781571278905
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.707024383640096,400,394,0.985,0.3294408875703646,0.3618226788489274,0.396756080867121,0.5297763983336538,0.0323817912785627,0.1330203174665327
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.70414881993007,400,389,0.9725,0.349874931214345,0.3868918489871936,0.4225887354943088,0.5482960634085753,0.0370169177728485,0.1257073279142664
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.6692694805194805,400,394,0.985,0.3230526424897563,0.3394283033406598,0.3922379470112165,0.4993607843686487,0.0163756608509034,0.1071228373574322
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.6707886904761905,400,395,0.9875,0.3302329869385306,0.3507627747488669,0.4018884781007331,0.5122400479951174,0.0205297878103363,0.1103515698943842
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.7072982919857922,400,394,0.985,0.3337971455387921,0.3619687774384091,0.4199276619061869,0.5375179543752278,0.028171631899617,0.1175902924690407
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.5925768546653625,0.704229157875393,400,393,0.9825,0.3311622243989051,0.3702695211422883,0.4091940514911447,0.5359365438018205,0.0391072967433832,0.1267424923106758
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.7380123848307828,400,382,0.955,0.3137825252249472,0.3423775828789784,0.446029273897402,0.6173652916263986,0.0285950576540312,0.1713360177289966
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.7441102826696864,400,384,0.96,0.3166069891646143,0.3633031505923476,0.490405402633842,0.6437163085253652,0.0466961614277333,0.1533109058915231
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.7530656403387632,400,381,0.9525,0.3276495843156548,0.3638526268160559,0.5052986348374265,0.6602538756778727,0.036203042500401,0.1549552408404462
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.75625,400,382,0.955,0.3426746777223778,0.3766667482538149,0.4985296182524491,0.6588446725544259,0.0339920705314371,0.1603150543019768
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.7387457124012597,400,383,0.9575,0.3322202396654025,0.3684943515060753,0.4638822924749581,0.6241494896089687,0.0362741118406728,0.1602671971340105
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.5925768546653625,0.75,400,373,0.9325,0.3528560714083085,0.3915911839505429,0.4682799371767667,0.6438246472687114,0.0387351125422343,0.1755447100919446
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.5925768546653625,0.7481060606060606,400,382,0.955,0.3318904767279673,0.3656603562931109,0.4809407629282702,0.6319547523258227,0.0337698795651435,0.1510139893975524
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.5925768546653625,0.7584222859989592,400,377,0.9425,0.3398041923710893,0.3769509368563629,0.4818136942645741,0.638940154090481,0.0371467444852736,0.1571264598259069
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.5925768546653625,0.7638798180985682,400,382,0.955,0.3382718640327573,0.3723381380120409,0.4926683829196611,0.6507168412823909,0.0340662739792835,0.1580484583627298
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.5925768546653625,0.7569284772505127,400,386,0.965,0.3246943256533047,0.3670032889982276,0.4892576627549532,0.649908311218957,0.0423089633449229,0.1606506484640037
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.5925768546653625,0.7646730177161379,400,384,0.96,0.330946537230362,0.3679744887000613,0.4833357984495212,0.6558656906551446,0.0370279514696992,0.1725298922056233
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.5925768546653625,0.8114583333333332,400,367,0.9175,0.35718401833208185,0.38979053165798044,0.5263181541304557,0.6782002012085206,0.03260651332589859,0.15188204707806496
