config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.5838547861647735,0.5925768546653625,400,400,1.0,0.3206149045573009,0.5135266232655951,0.3230565864812344,0.515383805784715,0.1929117187082941,0.1923272193034805
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.5838547861647735,0.5715920388468112,400,400,1.0,0.3225829605779668,0.500243335626577,0.3242732654507131,0.5017770076823568,0.1776603750486101,0.1775037422316436
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.5838547861647735,0.6090802807178817,400,400,1.0,0.3140611176442962,0.5215596027532141,0.3175521113249878,0.5241808192723698,0.2074984851089178,0.2066287079473819
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.5838547861647735,0.620521674683311,400,400,1.0,0.318854654294486,0.5244771009122077,0.3205498268719962,0.5258161329585661,0.2056224466177216,0.2052663060865699
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.5838547861647735,0.5523714811365984,400,400,1.0,0.3179518286405289,0.5025799528100492,0.3191783959615669,0.5034905292496967,0.1846281241695203,0.1843121332881298
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.5838547861647735,0.707024383640096,400,394,0.985,0.3247509238586301,0.3506223722264057,0.3742795869100906,0.5158129303296495,0.0258714483677756,0.1415333434195588
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.5838547861647735,0.70414881993007,400,390,0.975,0.3384048583746619,0.373088189545484,0.4068257030505366,0.53654340798478,0.0346833311708221,0.1297177049342433
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.5838547861647735,0.6692694805194805,400,390,0.975,0.3321525487032244,0.3610321005795154,0.3863783478141034,0.5241944099390213,0.0288795518762909,0.1378160621249178
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.5838547861647735,0.6707886904761905,400,394,0.985,0.3234997204630892,0.3610005157215064,0.379349489020699,0.4945170454117017,0.0375007952584171,0.1151675563910026
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.5838547861647735,0.7072982919857922,400,391,0.9775,0.3356489766415382,0.3569231969606389,0.414731836614331,0.5224358345201046,0.0212742203191007,0.1077039979057735
