config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.5715920388468112,0.5925768546653625,400,400,1.0,0.3181170067797015,0.4867663554440324,0.319035918474775,0.4874619501738128,0.1686493486643308,0.1684260316990378
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.5715920388468112,0.6090802807178817,400,399,0.9975,0.3086240798652826,0.4957896468675584,0.3087168208104362,0.4972280678159304,0.1871655670022757,0.1885112470054941
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.5715920388468112,0.620521674683311,400,400,1.0,0.3292381501209381,0.5352321658492375,0.3294348324196533,0.5355506278562416,0.2059940157282994,0.2061157954365883
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.5715920388468112,0.5523714811365984,400,400,1.0,0.3204997547812743,0.5314460295257122,0.320254583878191,0.5312450722972067,0.2109462747444379,0.2109904884190157
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.5715920388468112,0.5838547861647735,400,400,1.0,0.3186686606319488,0.5046123647945429,0.3170944040316711,0.5034046820272171,0.185943704162594,0.186310277995546
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.707024383640096,400,387,0.9675,0.3383473788707313,0.368359220253788,0.3940920056761976,0.534033548963321,0.0300118413830566,0.1399415432871233
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.70414881993007,400,390,0.975,0.3390217000146761,0.3810496789473013,0.4068830311984305,0.5526760825905798,0.0420279789326252,0.1457930513921492
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.6692694805194805,400,389,0.9725,0.3306313079216692,0.3562661342211002,0.3903535692872823,0.4992196618928185,0.025634826299431,0.1088660926055362
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.6707886904761905,400,394,0.985,0.3376812671015466,0.3588065265028757,0.3973034298420682,0.5198461459526386,0.021125259401329,0.1225427161105703
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.7072982919857922,400,390,0.975,0.3465892213306252,0.38001124984003,0.4152692899715993,0.5242631183806283,0.0334220285094048,0.108993828409029
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.5715920388468112,0.704229157875393,400,390,0.975,0.3434511943741957,0.375645531759218,0.4327746773626936,0.5442445339116211,0.0321943373850223,0.1114698565489274
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.7380123848307828,400,387,0.9675,0.2987438391087346,0.3280009933485182,0.4508728383081669,0.614618558236445,0.0292571542397835,0.163745719928278
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.7441102826696864,400,384,0.96,0.3154837859238651,0.3600161584997052,0.4834696370440434,0.628507169468549,0.04453237257584,0.1450375324245055
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.7530656403387632,400,385,0.9625,0.3194248957982029,0.3510877708052604,0.4955214345042853,0.6444934907811846,0.0316628750070575,0.1489720562768992
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.75625,400,380,0.95,0.3418688634089055,0.3676145732018118,0.4974031548958311,0.6576325689155863,0.0257457097929062,0.1602294140197552
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.7387457124012597,400,389,0.9725,0.3193780226579893,0.358447977186731,0.4778397822854161,0.6117512010527922,0.0390699545287416,0.1339114187673761
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.5715920388468112,0.75,400,376,0.94,0.3438227307834199,0.3833062781125844,0.4704969710050955,0.6389157273581784,0.0394835473291644,0.1684187563530828
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.5715920388468112,0.7481060606060606,400,385,0.9625,0.3248457757627542,0.3549901689602873,0.4870719814624278,0.6358828552672928,0.030144393197533,0.1488108738048649
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.5715920388468112,0.7584222859989592,400,377,0.9425,0.3374702652650801,0.3709889544858409,0.4739115239843984,0.6377471668350995,0.0335186892207607,0.163835642850701
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.5715920388468112,0.7638798180985682,400,382,0.955,0.3336448097031527,0.3626241207213249,0.5045766227640971,0.6589910523167493,0.0289793110181722,0.1544144295526521
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.5715920388468112,0.7569284772505127,400,388,0.97,0.3172791356928172,0.3546642100277313,0.500965426073733,0.6563220978164178,0.037385074334914,0.1553566717426848
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.5715920388468112,0.7646730177161379,400,383,0.9575,0.3321490547733623,0.3685763243501662,0.4920951952478184,0.656518874989969,0.0364272695768038,0.1644236797421505
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.5715920388468112,0.8114583333333332,400,369,0.9225,0.34870390946594826,0.3939921797475734,0.5181720467874239,0.6705647154560204,0.04528827028162513,0.15239266866859646
