config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.5925768546653625,400,50,0.125,0.919113074784775,0.8767123090424975,0.3192942153989996,0.527424709978544,-0.0424007657422774,0.2081304945795443
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.5715920388468112,400,50,0.125,0.9228719177054924,0.8782451547941943,0.326479880859702,0.5339955334471841,-0.044626762911298,0.2075156525874821
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.6090802807178817,400,53,0.1325,0.9080446777306452,0.8554015426844188,0.3165933179813406,0.4954399354911474,-0.0526431350462265,0.1788466175098068
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.620521674683311,400,50,0.125,0.9177095386810128,0.8768361659169537,0.318483260080231,0.518845338656808,-0.0408733727640592,0.200362078576577
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.5523714811365984,400,48,0.12,0.9086072123575027,0.883964427687562,0.3175641140866306,0.536675376324034,-0.0246427846699407,0.2191112622374033
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7072982919857922,0.5838547861647735,400,55,0.1375,0.9006210314858785,0.8668156250340943,0.3209276863022499,0.5037126319283559,-0.0338054064517842,0.182784945626106
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7072982919857922,0.707024383640096,400,383,0.9575,0.3976036292702847,0.5217915761283797,0.3746273101686672,0.5178502849468328,0.1241879468580949,0.1432229747781656
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7072982919857922,0.70414881993007,400,384,0.96,0.4253006146814793,0.544925933942396,0.40973925239032,0.5428727400996823,0.1196253192609166,0.1331334877093623
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7072982919857922,0.6692694805194805,400,390,0.975,0.4132131633135323,0.5524585816447335,0.3976291364028124,0.5422031524661418,0.1392454183312012,0.1445740160633294
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7072982919857922,0.6707886904761905,400,393,0.9825,0.4006731800694223,0.5270558022635875,0.3829043441988953,0.5148830588242191,0.1263826221941651,0.1319787146253238
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.7072982919857922,0.704229157875393,400,389,0.9725,0.4215638052848055,0.5468885525490543,0.4093121198372429,0.5400088093135501,0.1253247472642488,0.1306966894763071
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.7072982919857922,0.7380123848307828,400,333,0.8325,0.3923266396536747,0.5473370478067419,0.4583218064908456,0.6239743885608039,0.1550104081530671,0.1656525820699582
