config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.5925768546653625,400,55,0.1375,0.9043758675633106,0.8713137600626663,0.3254856974728918,0.5483668095048178,-0.0330621075006443,0.2228811120319259
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.5715920388468112,400,73,0.1825,0.8834465203156049,0.8419572102635992,0.3163739789266679,0.515293151695358,-0.0414893100520057,0.1989191727686901
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.6090802807178817,400,57,0.1425,0.904777272242692,0.864687945312344,0.3206873677482347,0.5059694507367601,-0.040089326930348,0.1852820829885254
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.620521674683311,400,45,0.1125,0.9168883916416752,0.8851211593786695,0.3188838883318104,0.5430004757538732,-0.0317672322630057,0.2241165874220627
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.5523714811365984,400,51,0.1275,0.9118583729717924,0.8746032067832553,0.320563119477666,0.5306062541347552,-0.0372551661885369,0.2100431346570891
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.6707886904761905,0.5838547861647735,400,58,0.145,0.8986944365491928,0.8641813935182864,0.3200822893739465,0.5091375232215704,-0.0345130430309064,0.1890552338476238
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.6707886904761905,0.707024383640096,400,376,0.94,0.3776410558137829,0.5142206702625097,0.363838955679062,0.5160185582980108,0.1365796144487268,0.1521796026189488
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.6707886904761905,0.70414881993007,400,375,0.9375,0.4188248674294462,0.5275072465024351,0.4157196005820042,0.5416493870303929,0.1086823790729888,0.1259297864483886
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.6707886904761905,0.6692694805194805,400,382,0.955,0.3964699531619359,0.5142599033532234,0.3893050571594525,0.5110650217923083,0.1177899501912874,0.1217599646328557
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.6707886904761905,0.7072982919857922,400,377,0.9425,0.3979737677110174,0.5293202690421962,0.402613636306209,0.5371892357206659,0.1313465013311788,0.1345755994144568
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.6707886904761905,0.704229157875393,400,377,0.9425,0.4131293374551804,0.5216910840109001,0.4075181720674233,0.5268840310179,0.1085617465557197,0.1193658589504766
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.6707886904761905,0.7380123848307828,400,327,0.8175,0.3940186971763572,0.5403186122545499,0.4580995487305972,0.6226099148900132,0.1462999150781927,0.1645103661594159
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.6707886904761905,0.7441102826696864,400,321,0.8025,0.4317372616786821,0.5383757839933834,0.4847766487133402,0.6330748441486098,0.1066385223147012,0.1482981954352695
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.6707886904761905,0.7530656403387632,400,330,0.825,0.4228866240053295,0.539932301400713,0.5161608991343961,0.6605874551723571,0.1170456773953834,0.1444265560379609
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.6707886904761905,0.75625,400,317,0.7925,0.4495928330329366,0.5678569542300359,0.4888038506046112,0.6484734873322762,0.1182641211970992,0.1596696367276649
