config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.5925768546653625,400,52,0.13,0.9183870790229278,0.8673782874778584,0.3219816233148816,0.5072040099817262,-0.0510087915450694,0.1852223866668446
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.5715920388468112,400,64,0.16,0.9001231559363433,0.8715085285385026,0.3219785837454321,0.5511766232853962,-0.0286146273978407,0.229198039539964
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.6090802807178817,400,75,0.1875,0.8793357759458997,0.8349403548176941,0.3216491441858072,0.4964944577057861,-0.0443954211282056,0.1748453135199789
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.620521674683311,400,60,0.15,0.9066066672377906,0.8693906779731267,0.3240989531424383,0.511930517266199,-0.0372159892646638,0.1878315641237606
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.5523714811365984,400,56,0.14,0.9036825315994182,0.8686630404378519,0.3128002457024595,0.5077807011171125,-0.0350194911615663,0.1949804554146529
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.70414881993007,0.5838547861647735,400,51,0.1275,0.9107345015447428,0.8708443424949439,0.3112356370147725,0.5018127701204724,-0.0398901590497989,0.1905771331056999
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.70414881993007,0.707024383640096,400,385,0.9625,0.4020327267351948,0.536030767696932,0.3886126593813088,0.5329538860792319,0.1339980409617372,0.144341226697923
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.70414881993007,0.6692694805194805,400,392,0.98,0.420479802449501,0.519349706143903,0.4047907569733749,0.5092125303224012,0.0988699036944019,0.1044217733490263
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.70414881993007,0.6707886904761905,400,398,0.995,0.387475276833438,0.5404452887591019,0.3729927750575886,0.530704571207824,0.1529700119256639,0.1577117961502353
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.70414881993007,0.7072982919857922,400,387,0.9675,0.4026142316046164,0.5061013717730423,0.3976440250874936,0.5070133360433369,0.1034871401684258,0.1093693109558432
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.70414881993007,0.704229157875393,400,383,0.9575,0.4190950437124068,0.5349530097490107,0.4028400033311054,0.5273194287735445,0.1158579660366039,0.1244794254424391
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.70414881993007,0.7380123848307828,400,331,0.8275,0.3890776566068601,0.5369657412299194,0.4457468292468111,0.6090911291113663,0.1478880846230592,0.1633442998645551
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.70414881993007,0.7441102826696864,400,331,0.8275,0.4457727264937627,0.5555556108387425,0.4919287557468388,0.6323403569703323,0.1097828843449797,0.1404116012234935
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.70414881993007,0.7530656403387632,400,335,0.8375,0.4231582188553273,0.5427041063903335,0.508415107999501,0.6515978397494493,0.1195458875350062,0.1431827317499483
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.70414881993007,0.75625,400,330,0.825,0.4523002888564596,0.5672744380857216,0.5047314064624117,0.6636363925156943,0.114974149229262,0.1589049860532826
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.70414881993007,0.7387457124012597,400,354,0.885,0.4118783675343075,0.5346608533499047,0.4689972198145279,0.6213494280412727,0.122782485815597,0.1523522082267447
