config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.5925768546653625,400,32,0.08,0.9422661310933648,0.9112341636049966,0.3214441417317052,0.5027946512800304,-0.0310319674883682,0.1813505095483251
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.5715920388468112,400,27,0.0675,0.9518373361955984,0.933553817594472,0.3216030624857687,0.5205678696488255,-0.0182835186011263,0.1989648071630567
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.6090802807178817,400,24,0.06,0.9473109935403514,0.922170394209725,0.315919764015288,0.5082013008744269,-0.0251405993306264,0.1922815368591389
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.620521674683311,400,29,0.0725,0.9416142219711212,0.9183669853909262,0.3179279472335025,0.5005199013623677,-0.023247236580195,0.1825919541288652
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.5523714811365984,400,30,0.075,0.9426268937799496,0.9250129216537482,0.3208716550771409,0.5198040299843218,-0.0176139721262014,0.1989323749071809
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7387457124012597,0.5838547861647735,400,42,0.105,0.9237821253610368,0.8946817034922749,0.3193872694778404,0.5055226817314044,-0.0291004218687618,0.1861354122535639
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.707024383640096,400,188,0.47,0.7168037534719279,0.7706729281616121,0.3874346221572162,0.5324722229889172,0.0538691746896842,0.1450376008317009
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.70414881993007,400,203,0.5075,0.6937780924297376,0.7349751975239858,0.4106182788173272,0.5466097641501783,0.0411971050942481,0.135991485332851
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.6692694805194805,400,204,0.51,0.6854421690498036,0.7264177248408665,0.4031561355318003,0.5223312597058678,0.0409755557910629,0.1191751241740675
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.6707886904761905,400,217,0.5425,0.6599352619317146,0.72818351710504,0.3935066626751866,0.5163523207844045,0.0682482551733254,0.1228456581092178
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.7072982919857922,400,199,0.4975,0.6749783694185024,0.7190092078259854,0.4111292159390368,0.5236466025178769,0.044030838407483,0.11251738657884
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.7387457124012597,0.704229157875393,400,188,0.47,0.708781723070842,0.759893297383382,0.4289278909730228,0.550620095795989,0.0511115743125399,0.1216922048229661
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.7387457124012597,0.7380123848307828,400,361,0.9025,0.476587690060246,0.6315780594974943,0.4545782492029013,0.6222115420294996,0.1549903694372483,0.1676332928265982
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.7387457124012597,0.7441102826696864,400,369,0.9225,0.4924744820833823,0.6350639671281029,0.4813372637073055,0.6349517825341612,0.1425894850447205,0.1536145188268556
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.7387457124012597,0.7530656403387632,400,361,0.9025,0.5088651440845996,0.6529798667682973,0.4990920478935354,0.6514759715205841,0.1441147226836977,0.1523839236270487
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.7387457124012597,0.75625,400,356,0.89,0.520626088406289,0.6645830842517184,0.4960499658934196,0.6617903207111531,0.1439569958454294,0.1657403548177334
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.7387457124012597,0.75,400,365,0.9125,0.489084497831532,0.6386996249260692,0.4649007836782525,0.6360780176222239,0.1496151270945372,0.1711772339439714
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.7387457124012597,0.7481060606060606,400,379,0.9475,0.499225928906785,0.6421812526540174,0.4826329769282356,0.6363857432627114,0.1429553237472323,0.1537527663344757
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.7387457124012597,0.7584222859989592,400,367,0.9175,0.4934857847601212,0.6389301203788418,0.480440095600936,0.6403968385572165,0.1454443356187205,0.1599567429562805
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.7387457124012597,0.7638798180985682,400,343,0.8575,0.5362519381470467,0.6767485112216974,0.5105945471108603,0.6756164919203339,0.1404965730746507,0.1650219448094736
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.7387457124012597,0.7569284772505127,400,354,0.885,0.5110839309061226,0.6549886641090645,0.4960867643008407,0.6523477067812128,0.1439047332029419,0.156260942480372
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.7387457124012597,0.7646730177161379,400,352,0.88,0.5282788880553287,0.6554475856991897,0.5008048103024053,0.6490783059969344,0.1271686976438609,0.148273495694529
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.7387457124012597,0.8114583333333332,400,326,0.815,0.543061767189974,0.6849891046354162,0.5303662265962643,0.6785269096814747,0.14192733744544217,0.14816068308521035
