config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.5925768546653625,400,31,0.0775,0.9351894296257056,0.9123274155348544,0.3143277326882998,0.5052856707586834,-0.0228620140908512,0.1909579380703835
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.5715920388468112,400,22,0.055,0.9492624063193006,0.9228098940375514,0.3213242010298121,0.5136259924220434,-0.0264525122817491,0.1923017913922313
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.6090802807178817,400,28,0.07,0.9394732289654228,0.9162044290612472,0.3179667888987351,0.5090681539383896,-0.0232687999041755,0.1911013650396544
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.620521674683311,400,28,0.07,0.9415983083541924,0.9229176028120264,0.320395142276847,0.5261443525984344,-0.018680705542166,0.2057492103215873
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.5523714811365984,400,18,0.045,0.9523063717562305,0.9353696515871144,0.3174135329684311,0.5283122149751638,-0.0169367201691161,0.2108986820067326
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7380123848307828,0.5838547861647735,400,29,0.0725,0.9393335080171836,0.918281270603486,0.3248758260241362,0.5212754214424226,-0.0210522374136977,0.1963995954182863
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7380123848307828,0.707024383640096,400,187,0.4675,0.6823075096374279,0.738326857087003,0.3769420548173715,0.5277375958542807,0.056019347449575,0.1507955410369092
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7380123848307828,0.70414881993007,400,186,0.465,0.6895976196937174,0.7329187512972328,0.3959021689406606,0.5431301259559227,0.0433211316035154,0.1472279570152621
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7380123848307828,0.6692694805194805,400,192,0.48,0.6844072712690283,0.7354448423266863,0.4090297856173015,0.5317426300695115,0.0510375710576579,0.1227128444522099
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7380123848307828,0.6707886904761905,400,197,0.4925,0.6601864413265688,0.7178633519683606,0.393626976273161,0.5078323544540967,0.0576769106417918,0.1142053781809356
