config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.5925768546653625,400,31,0.0775,0.9488711121813782,0.9214929396673992,0.3207775116864165,0.5340363340450403,-0.027378172513979,0.2132588223586237
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.5715920388468112,400,25,0.0625,0.9470016711899448,0.9314105833988426,0.3302533915291407,0.5198916192347802,-0.015591087791102,0.1896382277056394
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.6090802807178817,400,27,0.0675,0.9494151452100198,0.9317886085160338,0.3246549624129015,0.5327046210608362,-0.0176265366939859,0.2080496586479346
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.620521674683311,400,29,0.0725,0.9494293788939474,0.9272692329416208,0.3285701503826264,0.5122188631660994,-0.0221601459523267,0.183648712783473
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.5523714811365984,400,35,0.0875,0.941485495967444,0.9152426042042826,0.3151821798945451,0.5520181437819107,-0.0262428917631615,0.2368359638873656
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7530656403387632,0.5838547861647735,400,28,0.07,0.9554731861504177,0.9238644637482794,0.319062460052337,0.5052637424301245,-0.0316087224021383,0.1862012823777874
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.707024383640096,400,210,0.525,0.6846753683470057,0.7529004718700583,0.3912096522877514,0.5497565328736905,0.0682251035230525,0.1585468805859391
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.70414881993007,400,218,0.545,0.6956005694825045,0.7475894637521335,0.4077126388735074,0.5484078157556347,0.051988894269629,0.1406951768821273
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.6692694805194805,400,205,0.5125,0.6899952556750643,0.7243643728718407,0.3943053568008554,0.5108432363193048,0.0343691171967764,0.1165378795184494
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.6707886904761905,400,223,0.5575,0.6638749477189326,0.7315393895905865,0.3964952661917141,0.5216830698678785,0.0676644418716538,0.1251878036761644
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.7072982919857922,400,205,0.5125,0.6625985947997151,0.7178842488192752,0.4091650025170634,0.5237985471520112,0.05528565401956,0.1146335446349477
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.7530656403387632,0.704229157875393,400,197,0.4925,0.7022932958318949,0.7503971589538088,0.4229662235263562,0.5451739107372651,0.0481038631219138,0.1222076872109088
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.7530656403387632,0.7380123848307828,400,364,0.91,0.4749359044257176,0.6417066570634915,0.4529564711076068,0.6294818505324186,0.1667707526377739,0.1765253794248117
Surrogate_Paranoia_V3,2024-06-05_13-50-21_olivedrab-marriage,"surrogate with PL 3, 100% data/test overlap",0.7530656403387632,0.7441102826696864,400,374,0.935,0.5105290441273094,0.6275037600636649,0.4938877683402938,0.6278102633739714,0.1169747159363555,0.1339224950336775
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.7530656403387632,0.75625,400,365,0.9125,0.5227251964107504,0.660109215838533,0.5005931677673401,0.6549882728831737,0.1373840194277825,0.1543951051158336
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.7530656403387632,0.7387457124012597,400,357,0.8925,0.5123260631047056,0.6341823928053418,0.4915893270067122,0.6298818177600477,0.1218563297006362,0.1382924907533355
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.7530656403387632,0.75,400,377,0.9425,0.5067669194997193,0.6484130553699063,0.4836536089886006,0.6424690791984137,0.141646135870187,0.158815470209813
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.7530656403387632,0.7481060606060606,400,369,0.9225,0.5019672024221932,0.6388458651874289,0.484670182757754,0.6326337509114331,0.1368786627652357,0.1479635681536791
