config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.5925768546653625,400,29,0.0725,0.9450625798417628,0.9269354724590928,0.3203691785653524,0.5219011540421141,-0.0181271073826702,0.2015319754767617
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.5715920388468112,400,31,0.0775,0.9388541605898144,0.9252683597353334,0.323530816438801,0.5352250828668383,-0.0135858008544809,0.2116942664280373
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.6090802807178817,400,38,0.095,0.9321344331295764,0.9157105276386064,0.3235373847938871,0.4810587464142618,-0.0164239054909698,0.1575213616203747
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.620521674683311,400,31,0.0775,0.945200173958432,0.9147900843948474,0.3206410859332773,0.497358664068127,-0.0304100895635844,0.1767175781348497
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.5523714811365984,400,24,0.06,0.9518613511809388,0.9370980441745418,0.3327097221600069,0.5114966073005102,-0.014763307006397,0.1787868851405032
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7441102826696864,0.5838547861647735,400,25,0.0625,0.9520552785165762,0.928706321532834,0.3145817051470962,0.5240891217706863,-0.0233489569837422,0.20950741662359
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.707024383640096,400,206,0.515,0.6922139591336023,0.7434160641042661,0.3836418619630595,0.5240312092310845,0.0512021049706638,0.140389347268025
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.70414881993007,400,188,0.47,0.723468605545794,0.7536172259546179,0.4211933435467422,0.5613727204640432,0.0301486204088239,0.1401793769173009
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.6692694805194805,400,209,0.5225,0.6781415523300077,0.7253550663323785,0.3862753755531005,0.5108824916400769,0.0472135140023707,0.1246071160869763
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.6707886904761905,400,212,0.53,0.6576208727827131,0.7345327163990862,0.4001322869523943,0.5259162046089729,0.0769118436163731,0.1257839176565786
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.7072982919857922,400,199,0.4975,0.6778635500861944,0.7410047681915575,0.4209754375061243,0.5427231410673486,0.0631412181053631,0.1217477035612243
Surrogate_Paranoia_V2,2024-06-03_19-18-06_lavender-final,"surrogate with PL 2, 100% data/test overlap",0.7441102826696864,0.704229157875393,400,194,0.485,0.6997079962719119,0.7480846457249661,0.4253118369766733,0.5516099564616735,0.0483766494530542,0.1262981194850002
Surrogate_Paranoia_V3,2024-06-04_20-54-46_cadetblue-want,"surrogate with PL 3, 100% data/test overlap",0.7441102826696864,0.7380123848307828,400,372,0.93,0.4619013156519655,0.6258737763809186,0.4443718188097416,0.6133250793900653,0.163972460728953,0.1689532605803236
Surrogate_Paranoia_V3,2024-06-05_04-30-29_coral-million,"surrogate with PL 3, 100% data/test overlap",0.7441102826696864,0.7530656403387632,400,362,0.905,0.5178958541175857,0.6740089493051241,0.5064555945304217,0.6673809442440839,0.1561130951875384,0.1609253497136622
Surrogate_Paranoia_V3,2024-06-05_06-32-02_blueviolet-rather,"surrogate with PL 3, 100% data/test overlap",0.7441102826696864,0.75625,400,363,0.9075,0.5186215760223567,0.6612600751884661,0.4925508121453867,0.6541664371997851,0.1426384991661093,0.1616156250543983
Surrogate_Paranoia_V3,2024-06-04_12-34-40_sienna-education,"surrogate with PL 3, 100% data/test overlap",0.7441102826696864,0.7387457124012597,400,366,0.915,0.480507913902146,0.6086099458381641,0.4614834906197481,0.6066294482963387,0.1281020319360181,0.1451459576765905
Surrogate_Paranoia_V3,2024-06-05_15-58-09_gold-administration,"surrogate with PL 3, 100% data/test overlap",0.7441102826696864,0.75,400,365,0.9125,0.5087320032419655,0.6463293387564641,0.479089905996261,0.6389628424216585,0.1375973355144986,0.1598729364253974
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.7441102826696864,0.7481060606060606,400,372,0.93,0.5003899143126778,0.6433843217855251,0.4902333900190506,0.6428190410186148,0.1429944074728473,0.1525856509995641
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.7441102826696864,0.7584222859989592,400,364,0.91,0.5006771949044608,0.6422543564935651,0.4851908759371771,0.6423046140885917,0.1415771615891042,0.1571137381514146
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.7441102826696864,0.7638798180985682,400,358,0.895,0.5251867854272395,0.6717739861075203,0.5086600091956729,0.671013430141228,0.1465872006802807,0.1623534209455551
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.7441102826696864,0.7569284772505127,400,364,0.91,0.5102306044346328,0.6541167841642936,0.4931501489923905,0.6489626335442257,0.1438861797296609,0.1558124845518351
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.7441102826696864,0.7646730177161379,400,363,0.9075,0.5154907664374653,0.6588151256337218,0.4948781852220712,0.6529594454853822,0.1433243591962565,0.1580812602633109
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.7441102826696864,0.8114583333333332,400,327,0.8175,0.5493860436551224,0.6909413907287606,0.5303775718939769,0.6807076948277354,0.14155534707363815,0.15033012293375847
