config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.75,0.5925768546653625,400,31,0.0775,0.9430298191289204,0.9266073625990872,0.3192942153989996,0.5332432034369439,-0.0164224565298332,0.2139489880379442
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.75,0.5715920388468112,400,32,0.08,0.9394772424558424,0.91039949809722,0.318492528039365,0.5102037394361167,-0.0290777443586226,0.1917112113967516
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.75,0.6090802807178817,400,30,0.075,0.945992753579556,0.9165106719647332,0.3200138137821822,0.5054240911040128,-0.0294820816148227,0.1854102773218305
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.75,0.620521674683311,400,25,0.0625,0.952120909944,0.9287159756809216,0.3181738908899327,0.5262935531903402,-0.0234049342630785,0.2081196623004074
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.75,0.5523714811365984,400,25,0.0625,0.9469990001777012,0.9235390497528656,0.3201040027599916,0.5501310827341264,-0.0234599504248357,0.2300270799741347
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.75,0.5838547861647735,400,31,0.0775,0.9393927716510476,0.915137584822659,0.321517730211258,0.5045147146386273,-0.0242551868283885,0.1829969844273692
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.75,0.707024383640096,400,215,0.5375,0.6757013539973196,0.7506874639206258,0.3831649084447804,0.5507838341441229,0.0749861099233062,0.1676189256993424
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.75,0.70414881993007,400,195,0.4875,0.7092454569840322,0.7415696320921561,0.4160944260765045,0.5548420982818224,0.0323241751081239,0.1387476722053179
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.75,0.6692694805194805,400,202,0.505,0.6914752016186904,0.7178932573437834,0.3862356040073624,0.5060836592237234,0.026418055725093,0.119848055216361
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.75,0.6707886904761905,400,209,0.5225,0.6815592953115077,0.731557330719387,0.3820595712275089,0.5021643398023864,0.0499980354078792,0.1201047685748775
