surrogate,total_samples,attacks_identified,transfer_success_rate
2024-04-18_14-12-51_lightblue-around,510,80,0.8431372549019608
2024-05-10_15-03-09_darkred-number,460,52,0.8869565217391304
2024-04-22_11-20-36_yellow-majority,479,54,0.8872651356993737
2024-05-10_23-07-35_beige-western,374,58,0.8449197860962567
2024-04-23_05-02-11_cadetblue-right,480,65,0.8645833333333334
2024-04-08_21-57-36_greenyellow-fear,549,82,0.8506375227686703
2024-05-11_07-05-20_honeydew-check,527,73,0.8614800759013282
2024-04-23_02-58-14_blanchedalmond-table,476,65,0.8634453781512605
2024-04-22_18-57-13_darkslateblue-air,537,81,0.8491620111731844
2024-05-11_14-57-56_darkgray-general,394,54,0.8629441624365483
2024-04-28_07-18-23_lightcoral-pretty,513,15,0.9707602339181287
2024-04-28_22-59-40_blueviolet-physical,484,16,0.9669421487603306
2024-05-15_22-43-02_lightseagreen-first,532,12,0.9774436090225564
2024-05-15_06-47-54_mediumpurple-nothing,488,25,0.9487704918032787
2024-05-14_22-20-02_lightpink-medical,566,20,0.9646643109540636
2024-05-15_14-55-23_red-resource,498,27,0.9457831325301205
2024-04-10_13-36-12_darkcyan-why,525,15,0.9714285714285714
2024-04-29_15-29-39_darkkhaki-quickly,542,27,0.9501845018450185
2024-04-29_07-05-06_darkslategray-approach,491,18,0.9633401221995926
2024-04-28_15-07-53_aliceblue-suddenly,576,52,0.9097222222222222
