config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.8,0.9403843048292916,808,394,0.4876237623762376,0.6829140418865514,0.7883722313828951,0.5779688986318993,0.7294845146706014,0.1054581894963437,0.1515156160387021
Surrogate_Data_V1,2024-04-08_21-57-36_greenyellow-fear,"surrogate model with 0% train, test overlap",0.8,0.7808011061297655,549,466,0.848816029143898,0.535774497954703,0.6684999692873291,0.5031087305794419,0.6696391777128307,0.1327254713326261,0.1665304471333887
Surrogate_Data_V2,2024-04-09_14-07-59_maroon-scene,"surrogate model with 25% train, test overlap",0.8,0.7782573675095773,468,408,0.8717948717948718,0.5098061825883559,0.6499469453633812,0.4843292534723943,0.6452558962313364,0.1401407627750253,0.160926642758942
Surrogate_Data_V3,2024-04-09_22-01-28_midnightblue-address,"surrogate model with 50% train, test overlap",0.8,0.7421279761904762,486,450,0.925925925925926,0.4907953236918035,0.6212778747836808,0.4624903876316953,0.6094147060700458,0.1304825510918772,0.1469243184383504
Surrogate_Data_V4,2024-04-10_05-47-55_powderblue-science,"surrogate model with 75% train, test overlap",0.8,0.6807938790948656,417,386,0.9256594724220624,0.4676413804818604,0.6430060807654335,0.4247248611897796,0.6248671551034422,0.1753647002835731,0.2001422939136625
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.8,0.7569284772505127,525,510,0.9714285714285714,0.5000706396415672,0.6472516298565196,0.492662266489001,0.6467409324215017,0.1471809902149524,0.1540786659325006
Surrogate_SVM_V2,2024-04-12_10-11-20_greenyellow-modern,surrogate model with SVM and 0% overlap,0.8,0.9576922505990014,821,410,0.4993909866017052,0.6972037813834447,0.7923485231285871,0.6086739521676564,0.7366329354735633,0.0951447417451423,0.1279589833059069
Surrogate_Paranoia_V1,2024-04-12_18-12-33_crimson-clear,"surrogate with PL 1, 100% data/test overlap",0.8,0.6227943384271823,3308,310,0.0937122128174123,0.9413772287603964,0.9160680395483712,0.3232231858219125,0.5073503250616307,-0.0253091892120254,0.1841271392397181
Surrogate_Paranoia_V2,2024-04-13_13-56-32_linen-generation,"surrogate with PL 2, 100% data/test overlap",0.8,0.5674729730483616,3328,311,0.0934495192307692,0.941426326431652,0.920062979068938,0.322615837673666,0.5180314088887825,-0.0213633473627141,0.1954155712151165
Surrogate_Paranoia_V3,2024-04-13_21-57-35_seagreen-in,"surrogate with PL 3, 100% data/test overlap",0.8,0.6219899678201354,3206,285,0.0888958203368683,0.9420478575979976,0.9168837327670604,0.3199314927455678,0.5236397726015768,-0.0251641248309373,0.2037082798560089
Surrogate_Data_V1,2024-04-18_14-12-51_lightblue-around,"surrogate model with 0% train, test overlap",0.8,0.7954748442834665,510,430,0.8431372549019608,0.5323958006352499,0.6382516854527198,0.4880781419372728,0.6291452648155588,0.1058558848174698,0.1410671228782859
Surrogate_Data_V1,2024-04-22_11-20-36_yellow-majority,"surrogate model with 0% train, test overlap",0.8,0.7237429774874534,479,425,0.8872651356993737,0.5112584356876938,0.6409037616377866,0.4607062131054199,0.6185142714690676,0.1296453259500928,0.1578080583636476
Surrogate_Data_V1,2024-04-22_18-57-13_darkslateblue-air,"surrogate model with 0% train, test overlap",0.8,0.752963299149718,537,455,0.8472998137802608,0.5357172822766109,0.661084280367041,0.4941407898465075,0.6549962018184371,0.1253669980904301,0.1608554119719295
Surrogate_Data_V1,2024-04-23_05-02-11_cadetblue-right,"surrogate model with 0% train, test overlap",0.8,0.7806982628139094,480,413,0.8604166666666667,0.5362768236001347,0.6706978206783337,0.4870618423145591,0.6614377948785808,0.134420997078199,0.1743759525640216
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.8,0.7481060606060606,513,498,0.9707602339181286,0.4992037005684336,0.6371757642752249,0.4900561856289831,0.6380276225014062,0.1379720637067912,0.1479714368724231
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.8,0.8114583333333332,576,522,0.90625,0.5341547440446756,0.6744564027790999,0.5263218100104804,0.6706815180522151,0.1403016587344243,0.1443597080417347
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.8,0.7584222859989592,484,468,0.9669421487603306,0.4889164942063219,0.6380820330948531,0.4798980980215836,0.6418897777000685,0.1491655388885312,0.1619916796784848
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.8,0.7569284772505127,400,388,0.97,0.5004803916312041,0.6446767113645668,0.4949403650516089,0.6443183824491316,0.1441963197333627,0.1493780173975227
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.8,0.7481060606060606,400,389,0.9725,0.4903903017740877,0.6238624245319262,0.482604903984287,0.623775049318826,0.1334721227578384,0.1411701453345389
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.8,0.8114583333333332,400,361,0.9025,0.5396791867097602,0.6807614285595858,0.5347072145282903,0.6781385046464434,0.1410822418498255,0.1434312901181531
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.8,0.7584222859989592,400,386,0.965,0.4956383397202684,0.639532463790125,0.4850324100261049,0.6429987290181836,0.1438941240698565,0.1579663189920786
Surrogate_Data_V1,2024-04-23_02-58-14_blanchedalmond-table,"surrogate model with 0% train, test overlap",0.8,0.7625,476,410,0.8613445378151261,0.5097759934076166,0.6601303919376336,0.4670635182242647,0.6354338952963549,0.1503543985300169,0.1683703770720901
Surrogate_Data_V2,2024-04-24_15-31-15_deeppink-special,"surrogate model with 25% train, test overlap",0.8,0.6798214285714286,380,358,0.9421052631578948,0.4081069779529045,0.6131266078065071,0.3642919830751985,0.5916272888905764,0.2050196298536025,0.2273353058153778
Surrogate_Data_V2,2024-04-23_14-54-40_darkkhaki-analysis,"surrogate model with 25% train, test overlap",0.8,0.728549327414476,435,403,0.9264367816091954,0.4922053590076989,0.6331245860774599,0.4476464312706932,0.6162986026637924,0.1409192270697609,0.1686521713930992
Surrogate_Data_V2,2024-04-23_12-52-13_blue-cover,"surrogate model with 25% train, test overlap",0.8,0.8475686381534047,659,500,0.7587253414264037,0.5934691267699961,0.6791538713294226,0.5495648603944988,0.664721314166596,0.0856847445594265,0.1151564537720971
Surrogate_Data_V2,2024-04-24_07-26-56_sandybrown-rich,"surrogate model with 25% train, test overlap",0.8,0.7369642857142857,530,478,0.9018867924528302,0.5285598347749391,0.649257935778557,0.4871701457501082,0.6284299095537578,0.1206981010036178,0.1412597638036495
Surrogate_Data_V2,2024-04-23_23-09-12_mediumslateblue-imagine,"surrogate model with 25% train, test overlap",0.8,0.6809782512128495,402,388,0.965174129353234,0.4277986803036882,0.6116980433507679,0.3855840693728358,0.5900075170391111,0.1838993630470797,0.2044234476662753
Surrogate_Data_V3,2024-04-25_06-58-57_lightpink-simple,"surrogate model with 50% train, test overlap",0.8,0.7554760308818215,470,412,0.8765957446808511,0.4870186444704767,0.6204328131045688,0.4291159011465205,0.613147338640638,0.133414168634092,0.1840314374941174
Surrogate_Data_V3,2024-04-25_22-39-38_maroon-much,"surrogate model with 50% train, test overlap",0.8,0.7740585424665566,546,490,0.8974358974358975,0.5099910650980751,0.6633725431218237,0.469993638724506,0.6539926121738023,0.1533814780237485,0.1839989734492963
Surrogate_Data_V3,2024-04-25_14-30-59_navy-growth,"surrogate model with 50% train, test overlap",0.8,0.7558878392801742,535,456,0.8523364485981308,0.5244895603049093,0.6346962877757305,0.462663109811492,0.6230504307157788,0.1102067274708211,0.1603873209042868
Surrogate_Data_V3,2024-04-24_23-26-31_khaki-fear,"surrogate model with 50% train, test overlap",0.8,0.7246284123245068,430,384,0.8930232558139535,0.4784211581395659,0.6158625152985688,0.4436677813369256,0.6116312420028358,0.1374413571590029,0.1679634606659102
Surrogate_Data_V3,2024-04-26_07-01-34_royalblue-machine,"surrogate model with 50% train, test overlap",0.8,0.7715026592814451,507,460,0.9072978303747534,0.512381431241856,0.6581512242274453,0.5006586209298983,0.6539133807895157,0.1457697929855893,0.1532547598596173
Surrogate_Data_V4,2024-04-26_23-24-17_rosybrown-thing,"surrogate model with 75% train, test overlap",0.8,0.775,571,530,0.9281961471103328,0.5286642905148353,0.6620485581615333,0.4991853521887979,0.6548680339053233,0.1333842676466979,0.1556826817165253
Surrogate_Data_V4,2024-04-26_15-33-36_orange-nor,"surrogate model with 75% train, test overlap",0.8,0.7438005172660866,474,451,0.9514767932489452,0.4813838538460942,0.6490513776408725,0.4581110811489381,0.64149236751677,0.1676675237947782,0.1833812863678318
Surrogate_Data_V4,2024-04-27_07-25-54_lightpink-seem,"surrogate model with 75% train, test overlap",0.8,0.7052320075757577,534,515,0.9644194756554308,0.5049800144398001,0.6371737857622677,0.477704449106707,0.624791708190977,0.1321937713224675,0.1470872590842699
Surrogate_Data_V4,2024-04-27_15-10-21_seagreen-area,"surrogate model with 75% train, test overlap",0.8,0.7441725159846729,472,456,0.9661016949152542,0.4599806447300555,0.6140783035004429,0.4461349393685761,0.615889447524327,0.1540976587703873,0.1697545081557508
Surrogate_Data_V4,2024-04-27_23-17-04_yellowgreen-public,"surrogate model with 75% train, test overlap",0.8,0.73125,555,537,0.9675675675675676,0.4738284324320746,0.6229740865508605,0.4368201609175991,0.6014155246977213,0.1491456541187859,0.1645953637801221
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.8,0.7646730177161379,542,514,0.948339483394834,0.511305005964755,0.6507974610988584,0.4932563619417517,0.6481907794624675,0.1394924551341033,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.8,0.7338123063608284,491,472,0.9613034623217924,0.4858576553214334,0.6318754648679883,0.4686087050857093,0.6322413875139161,0.1460178095465549,0.1636326824282068
Surrogate_SVM_V2,2024-05-04_21-50-10_yellow-weight,surrogate model with SVM and 0% overlap,0.8,0.9399938431739194,835,430,0.5149700598802395,0.6724386495019501,0.7703849169491531,0.588303895077663,0.724896148051569,0.097946267447203,0.1365922529739059
Surrogate_SVM_V2,2024-05-03_21-13-21_maroon-education,surrogate model with SVM and 0% overlap,0.8,0.9451364728913888,791,427,0.5398230088495575,0.6811352979599722,0.7638816825829772,0.5528203327649067,0.6955481593728229,0.0827463846230049,0.1427278266079161
Surrogate_SVM_V2,2024-05-03_12-51-51_antiquewhite-statement,surrogate model with SVM and 0% overlap,0.8,0.9531969860409985,838,414,0.4940334128878281,0.7016169233279603,0.7869995575103209,0.6043961058593635,0.7145653094365784,0.0853826341823605,0.1101692035772148
Surrogate_SVM_V2,2024-05-04_14-19-02_oldlace-free,surrogate model with SVM and 0% overlap,0.8,0.9494690852748684,876,435,0.4965753424657534,0.6950946645007402,0.784591525269426,0.6075353761155583,0.734098530559825,0.0894968607686858,0.1265631544442667
Surrogate_SVM_V2,2024-05-04_05-32-53_thistle-product,surrogate model with SVM and 0% overlap,0.8,0.9145977340506694,639,380,0.594679186228482,0.6157463844172475,0.7568667190693196,0.489991878309562,0.6814661606221029,0.141120334652072,0.1914742823125408
Surrogate_Data_V1,2024-05-10_15-03-09_darkred-number,"surrogate model with 0% train, test overlap",0.8,0.7266536934769843,460,407,0.8847826086956522,0.5034143840384075,0.6438362566047692,0.4500614066020452,0.612830922015804,0.1404218725663616,0.1627695154137588
Surrogate_Data_V1,2024-05-10_23-07-35_beige-western,"surrogate model with 0% train, test overlap",0.8,0.7051759452519659,374,316,0.8449197860962567,0.4721739515495831,0.6376251946228481,0.4008898417836711,0.6002768154853159,0.1654512430732649,0.1993869737016447
Surrogate_Data_V1,2024-05-11_07-05-20_honeydew-check,"surrogate model with 0% train, test overlap",0.8,0.7220030663780665,527,454,0.8614800759013282,0.5321796544797183,0.6477631710337364,0.4448589542652342,0.6177403030337083,0.1155835165540181,0.172881348768474
