config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
NoAdv_Surrogate_Data_V1,2024-05-07_02-30-05_darkblue-imagine,"surrogate model with 0% train, test overlap",0.6943786705011775,0.7961887964140598,497,286,0.5754527162977867,0.5527794110024752,0.7424322461529554,0.5056903769422713,0.7365625947710721,0.1896528351504802,0.2308722178288008
NoAdv_Surrogate_Data_V1,2024-05-06_14-54-00_orangered-skill,"surrogate model with 0% train, test overlap",0.6943786705011775,0.7426314705426696,447,318,0.7114093959731543,0.5152604275901026,0.7091880133348083,0.4781662950612509,0.7041849973045907,0.1939275857447057,0.2260187022433398
NoAdv_Surrogate_Data_V1,2024-05-06_11-52-12_peachpuff-despite,"surrogate model with 0% train, test overlap",0.6943786705011775,0.7492912331665915,433,296,0.6836027713625866,0.5051103713766284,0.7023523059266826,0.4635955318134194,0.6975982964241318,0.1972419345500542,0.2340027646107124
NoAdv_Surrogate_Data_V1,2024-05-06_23-23-04_limegreen-prove,"surrogate model with 0% train, test overlap",0.6943786705011775,0.7664988318209669,464,288,0.6206896551724138,0.5340263387807711,0.7052265513829643,0.481670962102983,0.7103559249353814,0.1712002126021932,0.2286849628323983
NoAdv_Surrogate_Data_V1,2024-05-06_17-43-19_aqua-value,"surrogate model with 0% train, test overlap",0.6943786705011775,0.6964632930685075,386,284,0.7357512953367875,0.4817934166481542,0.6746395636297505,0.3878931209464321,0.6439078474490552,0.1928461469815963,0.2560147265026231
NoAdv_Surrogate_Data_V1,2024-05-06_20-28-46_lime-star,"surrogate model with 0% train, test overlap",0.6943786705011775,0.6687111417456811,285,255,0.8947368421052632,0.4428643325548375,0.6624087253172787,0.3926882325938283,0.6491244321638212,0.2195443927624411,0.2564361995699929
NoAdv_Surrogate_Data_V2,2024-05-07_05-33-27_chocolate-sit,"surrogate model with 25% train, test overlap",0.6943786705011775,0.7564080968962613,445,323,0.7258426966292135,0.5079124876493273,0.6994286117592454,0.4849458492626018,0.7135810467367171,0.1915161241099181,0.2286351974741152
NoAdv_Surrogate_Data_V2,2024-05-07_11-44-50_cornflowerblue-mouth,"surrogate model with 25% train, test overlap",0.6943786705011775,0.6478996717158532,289,258,0.8927335640138409,0.3781104117702328,0.6250789719514137,0.3369190521305362,0.6176108647563845,0.2469685601811808,0.2806918126258483
NoAdv_Surrogate_Data_V2,2024-05-07_20-56-24_tan-choice,"surrogate model with 25% train, test overlap",0.6943786705011775,0.7101472360202357,348,267,0.7672413793103449,0.4635562334507354,0.7090240384382006,0.4346402457406542,0.6958692961940757,0.2454678049874652,0.2612290504534214
NoAdv_Surrogate_Data_V2,2024-05-07_14-54-59_olive-east,"surrogate model with 25% train, test overlap",0.6943786705011775,0.7274255033644543,395,299,0.7569620253164557,0.4897003796783698,0.6835581272905948,0.4179483666811123,0.676837780686409,0.193857747612225,0.2588894140052966
NoAdv_Surrogate_Data_V2,2024-05-07_18-06-34_burlywood-prove,"surrogate model with 25% train, test overlap",0.6943786705011775,0.7341439298760215,347,275,0.792507204610951,0.4719926738491076,0.6963109345032612,0.4487278051261333,0.7023918103477405,0.2243182606541536,0.2536640052216071
NoAdv_Surrogate_Data_V2,2024-05-07_08-44-08_blanchedalmond-tv,"surrogate model with 25% train, test overlap",0.6943786705011775,0.7542407079414188,465,293,0.6301075268817204,0.5349614364120576,0.7243290247764855,0.4895813151286813,0.7433017306183831,0.1893675883644279,0.2537204154897017
NoAdv_Surrogate_Data_V3,2024-05-08_14-18-20_sandybrown-low,"surrogate model with 50% train, test overlap",0.6943786705011775,0.7378568010947075,421,323,0.7672209026128266,0.4488782501234047,0.6921949953618561,0.3969226091095444,0.6821198246234611,0.2433167452384514,0.2851972155139167
NoAdv_Surrogate_Data_V3,2024-05-08_11-20-14_silver-them,"surrogate model with 50% train, test overlap",0.6943786705011775,0.72168943618158,374,321,0.8582887700534759,0.4352614695455968,0.6749569569082913,0.4182259864654183,0.67672754272461,0.2396954873626944,0.2585015562591916
NoAdv_Surrogate_Data_V3,2024-05-07_23-36-27_lightblue-investment,"surrogate model with 50% train, test overlap",0.6943786705011775,0.7127514554096093,356,283,0.7949438202247191,0.4569033148609211,0.7041083338985068,0.4202211683991024,0.7058788859829255,0.2472050190375856,0.285657717583823
NoAdv_Surrogate_Data_V3,2024-05-08_05-35-56_floralwhite-with,"surrogate model with 50% train, test overlap",0.6943786705011775,0.6877010737342296,313,259,0.8274760383386581,0.4262757636946017,0.6540813533303146,0.3859006664117528,0.6567390530544713,0.2278055896357129,0.2708383866427185
NoAdv_Surrogate_Data_V3,2024-05-08_08-35-13_yellowgreen-throughout,"surrogate model with 50% train, test overlap",0.6943786705011775,0.7420311377196513,405,296,0.7308641975308642,0.4869033164612345,0.7132025262568333,0.4704848574964892,0.7321064940431286,0.2262992097955988,0.2616216365466393
NoAdv_Surrogate_Data_V3,2024-05-08_02-32-03_gold-news,"surrogate model with 50% train, test overlap",0.6943786705011775,0.7185602303765849,346,276,0.7976878612716763,0.4739652827141055,0.686486403245274,0.4372051224799949,0.6871074742276893,0.2125211205311684,0.2499023517476943
