config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7481060606060606,513,490,0.9551656920077972,0.5011152478861144,0.6405494451460761,0.4900561856289831,0.6380276225014062,0.1394341972599617,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7584222859989592,484,457,0.944214876033058,0.4911432635890023,0.6381453967611662,0.4798980980215836,0.6418897777000685,0.1470021331721638,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7564401439181205,532,512,0.962406015037594,0.4815609169554129,0.6109734534800414,0.4763384253919256,0.6075427044766878,0.1294125365246284,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7440277777777778,488,453,0.9282786885245902,0.5129987551935622,0.6350593446942588,0.4902852665338888,0.6285484204483675,0.1220605895006966,0.1382631539144786
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7476997600956425,498,457,0.9176706827309236,0.5037856572050106,0.6318911199130633,0.4922816857990564,0.6334061709801166,0.1281054627080528,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7569284772505127,525,495,0.9428571428571428,0.5043535603455814,0.6475717268428484,0.492662266489001,0.6467409324215017,0.1432181664972669,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7646730177161379,542,501,0.9243542435424354,0.5114323338059513,0.6552694504891453,0.4932563619417517,0.6481907794624675,0.143837116683194,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.7638798180985682,0.7338123063608284,491,465,0.9470468431771896,0.4831600504838642,0.6333390875655598,0.4686087050857093,0.6322413875139161,0.1501790370816955,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.7638798180985682,0.8114583333333332,576,493,0.8559027777777778,0.5393229906177406,0.6763562166946218,0.5263218100104804,0.6706815180522151,0.1370332260768811,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.7638798180985682,0.9436885939955214,864,381,0.4409722222222222,0.6896393167799476,0.78089733259381,0.6113317101859544,0.7322501907513489,0.0912580158138623,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.7638798180985682,0.9403843048292916,808,376,0.4653465346534653,0.6862370214107331,0.7924664949096024,0.5779688986318993,0.7294845146706014,0.1062294734988693,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.7638798180985682,0.9406854204985088,777,420,0.5405405405405406,0.6882460043914238,0.7794054707812902,0.6075952944269081,0.7348019163890721,0.0911594663898663,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.7638798180985682,0.9499317039404672,784,384,0.4897959183673469,0.67718737193533,0.7801236837445839,0.5957952553101403,0.7383481424270155,0.1029363118092538,0.1425528871168752
