config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7481060606060606,513,338,0.6588693957115009,0.5641247207390678,0.688148077389611,0.4900561856289831,0.6380276225014062,0.1240233566505432,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7584222859989592,484,339,0.7004132231404959,0.5473673530726804,0.6671993211349834,0.4798980980215836,0.6418897777000685,0.119831968062303,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7564401439181205,532,380,0.7142857142857143,0.5385789140557546,0.6513191732524658,0.4763384253919256,0.6075427044766878,0.1127402591967111,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7440277777777778,488,348,0.7131147540983607,0.5853876229148719,0.7057307642649624,0.4902852665338888,0.6285484204483675,0.1203431413500905,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7638798180985682,566,388,0.6855123674911661,0.5928325612315692,0.7035631669431748,0.5068798337123874,0.6665648696385541,0.1107306057116055,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7476997600956425,498,375,0.7530120481927711,0.5533942618162225,0.672055607094522,0.4922816857990564,0.6334061709801166,0.1186613452782994,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7569284772505127,525,362,0.6895238095238095,0.5656731783570589,0.6969924384116031,0.492662266489001,0.6467409324215017,0.1313192600545442,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7646730177161379,542,399,0.7361623616236163,0.5557386043084406,0.6911289717646895,0.4932563619417517,0.6481907794624675,0.1353903674562488,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.9461855787283124,0.7338123063608284,491,365,0.7433808553971487,0.535733650227775,0.6620529012108041,0.4686087050857093,0.6322413875139161,0.1263192509830291,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.9461855787283124,0.8114583333333332,576,398,0.6909722222222222,0.6017362769999264,0.7141270016941361,0.5263218100104804,0.6706815180522151,0.1123907246942097,0.1443597080417347
