config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Data_V5,2024-04-28_07-18-23_lightcoral-pretty,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7481060606060606,513,346,0.6744639376218323,0.4860515873287351,0.5793442937810671,0.4900561856289831,0.6380276225014062,0.093292706452332,0.1479714368724231
Surrogate_Data_V5,2024-04-28_22-59-40_blueviolet-physical,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7584222859989592,484,337,0.6962809917355371,0.4763834610093096,0.5652090778005024,0.4798980980215836,0.6418897777000685,0.0888256167911928,0.1619916796784848
Surrogate_Data_V5,2024-05-15_22-43-02_lightseagreen-first,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7564401439181205,532,383,0.7199248120300752,0.4611449418374704,0.5493913846416002,0.4763384253919256,0.6075427044766878,0.0882464428041297,0.1312042790847621
Surrogate_Data_V5,2024-05-15_06-47-54_mediumpurple-nothing,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7440277777777778,488,325,0.6659836065573771,0.4872339344469213,0.5808903768208954,0.4902852665338888,0.6285484204483675,0.093656442373974,0.1382631539144786
Surrogate_Data_V5,2024-05-14_22-20-02_lightpink-medical,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7638798180985682,566,398,0.7031802120141343,0.4898180184980439,0.5933856040169361,0.5068798337123874,0.6665648696385541,0.1035675855188921,0.1596850359261666
Surrogate_Data_V5,2024-05-15_14-55-23_red-resource,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7476997600956425,498,336,0.6746987951807228,0.4728934425929506,0.5674108318347763,0.4922816857990564,0.6334061709801166,0.0945173892418256,0.1411244851810602
Surrogate_Data_V5,2024-04-10_13-36-12_darkcyan-why,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7569284772505127,525,363,0.6914285714285714,0.4825307230385698,0.5964589985806518,0.492662266489001,0.6467409324215017,0.1139282755420819,0.1540786659325006
Surrogate_Data_V5,2024-04-29_15-29-39_darkkhaki-quickly,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7646730177161379,542,391,0.7214022140221402,0.4639041264789537,0.5815501681465589,0.4932563619417517,0.6481907794624675,0.1176460416676052,0.1549344175207158
Surrogate_Data_V5,2024-04-29_07-05-06_darkslategray-approach,"surrogate model with 100% train, test overlap",0.6139125227996559,0.7338123063608284,491,349,0.7107942973523421,0.4648127673124273,0.5720546711725492,0.4686087050857093,0.6322413875139161,0.1072419038601218,0.1636326824282068
Surrogate_Data_V5,2024-04-28_15-07-53_aliceblue-suddenly,"surrogate model with 100% train, test overlap",0.6139125227996559,0.8114583333333332,576,379,0.6579861111111112,0.498864489288664,0.6018125334014837,0.5263218100104804,0.6706815180522151,0.1029480441128196,0.1443597080417347
Surrogate_SVM_V1,2024-05-20_21-11-36_linen-civil,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9436885939955214,864,466,0.5393518518518519,0.5452083208003338,0.652801162784584,0.6113317101859544,0.7322501907513489,0.1075928419842502,0.1209184805653944
Surrogate_SVM_V1,2024-04-08_10-49-51_paleturquoise-nor,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9403843048292916,808,510,0.6311881188118812,0.5098789660603491,0.6329615924380462,0.5779688986318993,0.7294845146706014,0.123082626377697,0.1515156160387021
Surrogate_SVM_V1,2024-05-20_12-27-17_plum-television,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9406854204985088,777,508,0.6537966537966537,0.505293793187362,0.6218492472771378,0.6075952944269081,0.7348019163890721,0.1165554540897757,0.127206621962164
Surrogate_SVM_V1,2024-05-21_13-37-58_mediumvioletred-worker,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9499317039404672,784,499,0.6364795918367347,0.5061523160026198,0.6375200914728502,0.5957952553101403,0.7383481424270155,0.1313677754702303,0.1425528871168752
Surrogate_SVM_V1,2024-05-21_04-59-27_peachpuff-perform,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9461855787283124,862,543,0.6299303944315545,0.5188881830479805,0.6279851361312326,0.625671267190043,0.7464573298898072,0.1090969530832521,0.1207860626997642
Surrogate_SVM_V1,2024-05-21_21-37-36_seagreen-together,surrogate model with SVM and 100% overlap,0.6139125227996559,0.9453896262278354,799,494,0.6182728410513142,0.5213129746234785,0.6340105518366439,0.610824868394811,0.736549353693962,0.1126975772131654,0.125724485299151
Surrogate_GBoost_V1,2024-05-22_22-04-52_papayawhip-heavy,surrogate model with GradientBoosting and 100% overlap,0.6139125227996559,0.6538855378303416,647,580,0.8964451313755796,0.400209040047657,0.5237137467932247,0.3996095080324405,0.5282979766351252,0.1235047067455676,0.1286884686026846
Surrogate_GBoost_V1,2024-05-23_21-59-14_palegreen-local,surrogate model with GradientBoosting and 100% overlap,0.6139125227996559,0.686673007615936,686,587,0.8556851311953353,0.4080921627721078,0.5512554494094438,0.4034413927202514,0.5513010469053942,0.143163286637336,0.1478596541851427
Surrogate_GBoost_V1,2024-05-23_06-06-40_darkslateblue-they,surrogate model with GradientBoosting and 100% overlap,0.6139125227996559,0.6752334019684305,736,642,0.8722826086956522,0.4154975845072288,0.5503123056020489,0.4165351194147479,0.5574162988585428,0.1348147210948201,0.1408811794437948
Surrogate_GBoost_V1,2024-05-22_05-37-59_darkviolet-but,surrogate model with GradientBoosting and 100% overlap,0.6139125227996559,0.6959621076217234,678,585,0.8628318584070797,0.4243380401918731,0.5706820054709693,0.4206529968662883,0.5713384290168629,0.1463439652790961,0.1506854321505746
Surrogate_GBoost_V1,2024-05-23_14-03-55_peru-civil,surrogate model with GradientBoosting and 100% overlap,0.6139125227996559,0.6678473697214085,655,597,0.9114503816793892,0.3947712990297153,0.5340372947536814,0.3981851511206518,0.5403978525069676,0.139265995723966,0.1422127013863158
Surrogate_NaiveBayes_V1,2024-05-24_21-29-40_chocolate-yourself,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,1.6441099896168416e-99,1136,458,0.403169014084507,0.6785646437061978,0.6912833165527594,1.830227992500729e-101,0.1584507042253259,0.0127186728465615,0.1584507042253259
Surrogate_NaiveBayes_V1,2024-05-24_08-27-38_lightskyblue-might,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,1.5348728495637029e-99,1062,432,0.4067796610169492,0.6775091562684195,0.7127802315885338,1.724613861556644e-101,0.1883239171125798,0.0352710753201143,0.1883239171125798
Surrogate_NaiveBayes_V1,2024-05-24_06-02-52_cadetblue-lay,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,1.106482258374067e-99,1100,425,0.3863636363636363,0.6954123398996697,0.7148318726791463,1.1744935300450082e-101,0.1681818181818174,0.0194195327794766,0.1681818181818174
Surrogate_NaiveBayes_V1,2024-05-24_19-15-34_olive-simple,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,1.486496503766066e-99,1103,433,0.3925657298277425,0.6822491288968832,0.6888201413508824,1.509052259482217e-101,0.1631912964637831,0.0065710124539992,0.1631912964637831
Surrogate_NaiveBayes_V1,2024-05-25_05-33-38_darkslateblue-even,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,2.703240830849696e-102,1092,441,0.4038461538461538,0.6788906291248961,0.6879081987574549,1.915144938763764e-104,0.1611721611718033,0.0090175696325588,0.1611721611718033
Surrogate_NaiveBayes_V1,2024-05-24_10-34-12_darkmagenta-data,surrogate model with Naive Bayes and 100% overlap,0.6139125227996559,1.4759449774253127e-99,1078,431,0.3998144712430426,0.6825355514429164,0.6954901181616653,9.837748578946759e-102,0.1679035250463822,0.0129545667187488,0.1679035250463822
Surrogate_LogReg_V1,2024-05-25_16-01-13_honeydew-million,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6527363600671267,752,462,0.6143617021276596,0.5533339563294796,0.6173679025889923,0.3213236537754699,0.4967891706763718,0.0640339462595127,0.1754655169009019
Surrogate_LogReg_V1,2024-05-26_00-32-57_mediumvioletred-open,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6574949927934893,785,487,0.6203821656050955,0.5356186098127113,0.606814595978076,0.3215096410359667,0.4952020602728396,0.0711959861653647,0.1736924192368729
Surrogate_LogReg_V1,2024-05-26_08-50-46_darkmagenta-price,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6739385203562249,890,491,0.5516853932584269,0.5741068916658616,0.6343296235670629,0.348879354097652,0.5174820000399296,0.0602227319012013,0.1686026459422776
Surrogate_LogReg_V1,2024-05-27_00-49-34_aqua-gas,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6603488233039415,797,482,0.6047678795483061,0.5537013240220173,0.6332455876980427,0.316820837452631,0.5211375113441138,0.0795442636760254,0.2043166738914827
Surrogate_LogReg_V1,2024-05-26_16-57-36_mediumslateblue-agency,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6600229148567106,825,511,0.6193939393939394,0.5486251735727178,0.632155363220663,0.3177744484326631,0.509167025035305,0.0835301896479452,0.1913925766026418
Surrogate_LogReg_V1,2024-05-25_07-38-08_thistle-station,surrogate model with Logistic Regression and 100% overlap,0.6139125227996559,0.6547304068014529,855,461,0.5391812865497077,0.5799983678208707,0.6447680374486761,0.3326175192771159,0.5088127057758787,0.0647696696278053,0.1761951864987627
Surrogate_KNN_V1,2024-05-27_09-13-03_seashell-believe,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,928,264,0.2844827586206896,0.7506540484338875,0.7097653120989922,0.3114224137931034,0.634698275862069,-0.0408887363348953,0.3232758620689655
Surrogate_KNN_V1,2024-05-27_12-31-57_darkorchid-involve,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,1089,402,0.3691460055096419,0.7082397267270552,0.6860825161521408,0.3414141414141414,0.5930211202938476,-0.0221572105749143,0.2516069788797061
Surrogate_KNN_V1,2024-05-27_18-35-07_beige-indicate,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,997,324,0.324974924774323,0.7101187512741926,0.6684029124352477,0.3227683049147442,0.6437311935807423,-0.0417158388389448,0.320962888665998
Surrogate_KNN_V1,2024-05-27_21-38-23_papayawhip-sound,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,1027,231,0.2249269717624148,0.780009822490804,0.7505750568521646,0.3415774099318402,0.6334956183057449,-0.0294347656386393,0.2919182083739046
Surrogate_KNN_V1,2024-05-28_00-47-49_mediumblue-phone,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,944,256,0.2711864406779661,0.7421100191979201,0.7243879465417856,0.3065677966101695,0.5908898305084745,-0.0177220726561344,0.284322033898305
Surrogate_KNN_V1,2024-05-27_15-25-51_peachpuff-from,surrogate model with K-Nearest Neighbors and 100% overlap,0.6139125227996559,0.8,1069,346,0.323666978484565,0.7433858705572987,0.7157782622987416,0.36202057998129095,0.6503274087932647,-0.027607608258557015,0.2883068288119737
